instance,tw,n,kn,time,phase,minseps,pmcs
CFG_contiki_contiki_cfs-ram_cfs_readdir.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_remove.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_seek.gr,2,19,0,0.02,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_write.gr,2,42,0,0.03,1,0,0
CFG_contiki_contiki_chameleon-bitopt_get_bits.gr,2,70,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-bitopt_get_bits_in_byte.gr,1,24,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-bitopt_header_size.gr,2,18,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-bitopt_pack_header.gr,2,93,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-bitopt_set_bits.gr,2,79,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-bitopt_set_bits_in_byte.gr,1,23,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-bitopt_unpack_header.gr,2,100,0,0.02,1,0,0
CFG_contiki_contiki_chameleon-raw_hdrsize.gr,2,28,0,0.01,1,0,0
CFG_contiki_contiki_chameleon-raw_input.gr,2,109,0,0.03,1,0,0
CFG_contiki_contiki_chameleon-raw_output.gr,2,94,0,0.04,1,0,0
CFG_contiki_contiki_chameleon_chameleon_create.gr,2,18,0,0.02,1,0,0
CFG_contiki_contiki_chameleon_chameleon_hdrsize.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_chameleon_chameleon_init.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_chameleon_chameleon_parse.gr,2,16,0,0.01,1,0,0
CFG_contiki_contiki_channel_channel_close.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_channel_channel_init.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_channel_channel_lookup.gr,2,23,0,0.01,1,0,0
CFG_contiki_contiki_channel_channel_open.gr,1,11,0,0.01,1,0,0
CFG_contiki_contiki_channel_channel_set_attributes.gr,2,15,0,0.04,1,0,0
CFG_contiki_contiki_checkpoint_checkpoint_checkpoint.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_checkpoint_checkpoint_init.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_checkpoint_checkpoint_rollback.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate.gr,2,13,0,0.01,1,0,0
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_new.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_num_estimates.gr,2,11,0,0.01,1,0,0
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_update_rx.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_update_tx.gr,2,34,0,0.01,1,0,0
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_update_tx_fail.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_init.gr,0,0,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_is_congested.gr,2,12,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_rx.gr,1,10,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_link_estimate.gr,2,17,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_add.gr,3,85,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_best.gr,2,30,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_find.gr,2,26,0,0.02,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_get.gr,2,25,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_new.gr,1,20,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_num.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_purge.gr,2,20,0,0.03,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_remove.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_rtmetric.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_rtmetric_link_estimate.gr,1,12,0,0.02,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_set_congested.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_tx.gr,1,14,0,0.03,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_tx_fail.gr,1,14,0,0.02,1,0,0
CFG_contiki_contiki_collect-neighbor_collect_neighbor_update_rtmetric.gr,2,10,0,0.01,1,0,0
CFG_contiki_contiki_collect-neighbor_periodic.gr,2,75,0,0.03,1,0,0
CFG_contiki_contiki_collect-view-template_collect_view_arch_read_sensors.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_collect-view_collect_view_construct_message.gr,2,93,0,0.01,1,0,0
CFG_contiki_contiki_collect_add_packet_to_recent_packets.gr,2,33,0,0.01,1,0,0
CFG_contiki_contiki_collect_bump_advertisement.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_close.gr,2,18,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_depth.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_open.gr,1,62,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_parent.gr,1,7,0,0.02,1,0,0
CFG_contiki_contiki_collect_collect_print_stats.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_purge.gr,1,21,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_send.gr,2,114,0,0.02,1,0,0
CFG_contiki_contiki_collect_collect_set_keepalive.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_collect_collect_set_sink.gr,2,39,0,0.01,1,0,0
CFG_contiki_contiki_collect_enqueue_dummy_packet.gr,2,46,0,0.01,1,0,0
CFG_contiki_contiki_collect_handle_ack.gr,2,118,0,0.01,1,0,0
CFG_contiki_contiki_collect_node_packet_received.gr,3,237,0,0.01,1,0,0
CFG_contiki_contiki_collect_node_packet_sent.gr,2,39,0,0.01,1,0,0
CFG_contiki_contiki_collect_proactive_probing_callback.gr,3,74,0,0.02,1,0,0
CFG_contiki_contiki_collect_received_announcement.gr,2,52,0,0.01,1,0,0
CFG_contiki_contiki_collect_retransmit_callback.gr,2,23,0,0.03,1,0,0
CFG_contiki_contiki_collect_retransmit_current_packet.gr,2,86,0,0.03,1,0,0
CFG_contiki_contiki_collect_retransmit_not_sent_callback.gr,1,12,0,0.01,1,0,0
CFG_contiki_contiki_collect_rtmetric_compute.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_collect_send_ack.gr,1,53,0,0.01,1,0,0
CFG_contiki_contiki_collect_send_keepalive.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_collect_send_next_packet.gr,1,26,0,0.01,1,0,0
CFG_contiki_contiki_collect_send_packet.gr,1,20,0,0.01,1,0,0
CFG_contiki_contiki_collect_send_queued_packet.gr,2,95,0,0.03,1,0,0
CFG_contiki_contiki_collect_set_keepalive_timer.gr,2,28,0,0.02,1,0,0
CFG_contiki_contiki_collect_timedout.gr,2,53,0,0.03,1,0,0
CFG_contiki_contiki_collect_update_parent.gr,2,62,0,0.03,1,0,0
CFG_contiki_contiki_collect_update_rtmetric.gr,2,34,0,0.01,1,0,0
CFG_contiki_contiki_compower_compower_accumulate.gr,1,23,0,0.03,1,0,0
CFG_contiki_contiki_compower_compower_accumulate_attrs.gr,1,18,0,0.02,1,0,0
CFG_contiki_contiki_compower_compower_attrconv.gr,1,24,0,0.01,1,0,0
CFG_contiki_contiki_compower_compower_clear.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_compower_compower_init.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_contiki-desktop-main_main.gr,2,56,0,0.02,1,0,0
CFG_contiki_contiki_contikimac_broadcast_rate_drop.gr,1,5,0,0.03,1,0,0
CFG_contiki_contiki_contikimac_contikimac_debug_print.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_duty_cycle.gr,1,5,0,0.03,1,0,0
CFG_contiki_contiki_contikimac_init.gr,1,24,0,0.03,1,0,0
CFG_contiki_contiki_contikimac_input_packet.gr,3,116,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_off.gr,2,11,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_on.gr,2,10,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_powercycle.gr,5,166,13,0.02,4,47,19
CFG_contiki_contiki_contikimac_powercycle_turn_radio_off.gr,2,6,0,0.02,1,0,0
CFG_contiki_contiki_contikimac_powercycle_turn_radio_on.gr,2,6,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_qsend_packet.gr,2,15,0,0.02,1,0,0
CFG_contiki_contiki_contikimac_schedule_powercycle.gr,2,36,0,0.02,1,0,0
CFG_contiki_contiki_contikimac_schedule_powercycle_fixed.gr,2,28,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_send_packet.gr,3,285,0,0.03,1,0,0
CFG_contiki_contiki_contikimac_turn_off.gr,2,18,0,0.01,1,0,0
CFG_contiki_contiki_contikimac_turn_on.gr,2,21,0,0.01,1,0,0
CFG_contiki_contiki_crc16_crc16_add.gr,1,20,0,0.02,1,0,0
CFG_contiki_contiki_crc16_crc16_data.gr,2,19,0,0.01,1,0,0
CFG_contiki_contiki_csma_channel_check_interval.gr,2,11,0,0.01,1,0,0
CFG_contiki_contiki_csma_default_timebase.gr,2,13,0,0.01,1,0,0
CFG_contiki_contiki_csma_free_queued_packet.gr,2,33,0,0.01,1,0,0
CFG_contiki_contiki_csma_init.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_csma_input_packet.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_csma_off.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_csma_on.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_csma_packet_sent.gr,2,93,0,0.02,1,0,0
CFG_contiki_contiki_csma_send_packet.gr,2,77,0,0.03,1,0,0
CFG_contiki_contiki_csma_start_transmission_timer.gr,2,20,0,0.02,1,0,0
CFG_contiki_contiki_csma_transmit_queued_packet.gr,2,22,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_ctimer_expired.gr,3,25,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_ctimer_init.gr,1,12,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_ctimer_reset.gr,2,21,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_ctimer_restart.gr,2,21,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_ctimer_set.gr,2,32,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_ctimer_stop.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_ctimer_process_thread_ctimer_process.gr,3,72,0,0.02,1,0,0
CFG_contiki_contiki_ctk_activate.gr,3,101,0,0.01,1,0,0
CFG_contiki_contiki_ctk_activate_menu.gr,3,42,0,0.01,1,0,0
CFG_contiki_contiki_ctk_add_redrawwidget.gr,3,32,0,0.01,1,0,0
CFG_contiki_contiki_ctk_arrange_icons.gr,2,25,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_desktop_height.gr,1,6,0,0.02,1,0,0
CFG_contiki_contiki_ctk_ctk_desktop_redraw.gr,3,22,0,0.03,1,0,0
CFG_contiki_contiki_ctk_ctk_desktop_width.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_dialog_close.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_dialog_new.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_dialog_open.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_icon_add.gr,1,13,0,0.03,1,0,0
CFG_contiki_contiki_ctk_ctk_menu_add.gr,2,25,0,0.02,1,0,0
CFG_contiki_contiki_ctk_ctk_menu_new.gr,1,17,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_menu_remove.gr,2,25,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_menuitem_add.gr,2,27,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_mode_get.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_mode_set.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_restore.gr,1,11,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_widget_add.gr,2,26,0,0.02,1,0,0
CFG_contiki_contiki_ctk_ctk_widget_redraw.gr,2,11,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_window_clear.gr,1,13,0,0.02,1,0,0
CFG_contiki_contiki_ctk_ctk_window_close.gr,3,49,0,0.01,1,0,0
CFG_contiki_contiki_ctk_ctk_window_new.gr,1,11,0,0.02,1,0,0
CFG_contiki_contiki_ctk_ctk_window_open.gr,2,50,0,0.02,1,0,0
CFG_contiki_contiki_ctk_ctk_window_redraw.gr,2,25,0,0.01,1,0,0
CFG_contiki_contiki_ctk_do_redraw_all.gr,2,87,0,0.03,1,0,0
CFG_contiki_contiki_ctk_make_desktopmenu.gr,2,30,0,0.01,1,0,0
CFG_contiki_contiki_ctk_make_windowbuttons.gr,2,65,0,0.01,1,0,0
CFG_contiki_contiki_ctk_menus_input.gr,2,50,0,0.01,1,0,0
CFG_contiki_contiki_ctk_process_thread_ctk_process.gr,3,353,0,0.02,1,0,0
CFG_contiki_contiki_ctk_select_widget.gr,2,49,0,0.01,1,0,0
CFG_contiki_contiki_ctk_switch_focus_widget.gr,3,57,0,0.01,1,0,0
CFG_contiki_contiki_ctk_switch_menu_item.gr,2,50,0,0.01,1,0,0
CFG_contiki_contiki_ctk_switch_open_menu.gr,3,48,0,0.01,1,0,0
CFG_contiki_contiki_ctk_textentry_input.gr,3,133,0,0.02,1,0,0
CFG_contiki_contiki_ctk_unfocus_widget.gr,2,21,0,0.02,1,0,0
CFG_contiki_contiki_ctk_widget_redraw.gr,3,37,0,0.01,1,0,0
CFG_contiki_contiki_ctk_window_new.gr,2,75,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_channel_check_interval.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_cpowercycle.gr,4,71,0,0.02,1,0,0
CFG_contiki_contiki_cxmac_cschedule_powercycle.gr,2,17,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_cxmac_init.gr,1,17,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_cxmac_set_announcement_radio_txpower.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_input_packet.gr,3,90,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_off.gr,2,12,0,0.0,1,0,0
CFG_contiki_contiki_cxmac_on.gr,2,10,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_powercycle_turn_radio_off.gr,2,7,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_powercycle_turn_radio_on.gr,2,7,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_qsend_packet.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_register_encounter.gr,2,44,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_send_packet.gr,3,325,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_turn_off.gr,2,15,0,0.01,1,0,0
CFG_contiki_contiki_cxmac_turn_on.gr,1,8,0,0.02,1,0,0
CFG_contiki_contiki_dhcpc_add_end.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_add_msg_type.gr,1,14,0,0.03,1,0,0
CFG_contiki_contiki_dhcpc_add_req_ipaddr.gr,1,19,0,0.02,1,0,0
CFG_contiki_contiki_dhcpc_add_req_options.gr,1,20,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_add_server_id.gr,1,19,0,0.02,1,0,0
CFG_contiki_contiki_dhcpc_create_msg.gr,1,91,0,0.02,1,0,0
CFG_contiki_contiki_dhcpc_dhcpc_appcall.gr,2,12,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_dhcpc_init.gr,2,34,0,0.02,1,0,0
CFG_contiki_contiki_dhcpc_dhcpc_request.gr,2,27,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_handle_dhcp.gr,6,276,39,0.7,4,53365,517
CFG_contiki_contiki_dhcpc_msg_for_me.gr,3,55,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_parse_msg.gr,2,45,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_parse_options.gr,3,83,0,0.02,1,0,0
CFG_contiki_contiki_dhcpc_send_discover.gr,1,24,0,0.01,1,0,0
CFG_contiki_contiki_dhcpc_send_request.gr,1,27,0,0.01,1,0,0
CFG_contiki_contiki_elfloader_elfloader_init.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_elfloader_elfloader_load.gr,3,428,0,0.04,1,0,0
CFG_contiki_contiki_elfloader_find_local_symbol.gr,3,79,0,0.03,1,0,0
CFG_contiki_contiki_elfloader_find_program_processes.gr,3,50,0,0.02,1,0,0
CFG_contiki_contiki_elfloader_relocate_section.gr,3,190,0,0.01,1,0,0
CFG_contiki_contiki_elfloader_seek_read.gr,1,13,0,0.01,1,0,0
CFG_contiki_contiki_energest_energest_flush.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_energest_energest_init.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_energest_energest_type_set.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_energest_energest_type_time.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_etimer_add_timer.gr,3,27,0,0.03,1,0,0
CFG_contiki_contiki_etimer_etimer_adjust.gr,1,10,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_expiration_time.gr,1,10,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_expired.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_next_expiration_time.gr,2,12,0,0.03,1,0,0
CFG_contiki_contiki_etimer_etimer_pending.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_request_poll.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_reset.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_restart.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_set.gr,1,10,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_start_time.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_etimer_etimer_stop.gr,3,34,0,0.01,1,0,0
CFG_contiki_contiki_etimer_process_thread_etimer_process.gr,3,94,0,0.03,1,0,0
CFG_contiki_contiki_etimer_update_time.gr,2,37,0,0.01,1,0,0
CFG_contiki_contiki_frame802154_addr_len.gr,2,15,0,0.02,1,0,0
CFG_contiki_contiki_frame802154_field_len.gr,2,55,0,0.01,1,0,0
CFG_contiki_contiki_frame802154_frame802154_create.gr,2,154,0,0.02,1,0,0
CFG_contiki_contiki_frame802154_frame802154_hdrlen.gr,1,24,0,0.02,1,0,0
CFG_contiki_contiki_frame802154_frame802154_parse.gr,2,196,0,0.03,1,0,0
CFG_contiki_contiki_framer-802154_create.gr,2,132,0,0.01,1,0,0
CFG_contiki_contiki_framer-802154_is_broadcast_addr.gr,2,24,0,0.01,1,0,0
CFG_contiki_contiki_framer-802154_parse.gr,3,71,0,0.01,1,0,0
CFG_contiki_contiki_framer-nullmac_create.gr,2,23,0,0.01,1,0,0
CFG_contiki_contiki_framer-nullmac_parse.gr,2,19,0,0.01,1,0,0
CFG_contiki_contiki_hc_hc_compress.gr,2,71,0,0.01,1,0,0
CFG_contiki_contiki_hc_hc_inflate.gr,2,76,0,0.01,1,0,0
CFG_contiki_contiki_hc_hc_init.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_httpd-cfs_handle_connection.gr,2,13,0,0.01,1,0,0
CFG_contiki_contiki_httpd-cfs_handle_input.gr,3,102,0,0.01,1,0,0
CFG_contiki_contiki_httpd-cfs_handle_output.gr,4,107,0,0.01,1,0,0
CFG_contiki_contiki_httpd-cfs_httpd_appcall.gr,2,112,0,0.02,1,0,0
CFG_contiki_contiki_httpd-cfs_httpd_init.gr,1,11,0,0.01,1,0,0
CFG_contiki_contiki_httpd-cfs_send_file.gr,3,44,0,0.02,1,0,0
CFG_contiki_contiki_httpd-cfs_send_headers.gr,3,106,0,0.02,1,0,0
CFG_contiki_contiki_httpd-cfs_send_string.gr,2,28,0,0.01,1,0,0
CFG_contiki_contiki_ifft_bitrev.gr,2,17,0,0.02,1,0,0
CFG_contiki_contiki_ifft_cosI.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_ifft_ifft.gr,2,172,0,0.02,1,0,0
CFG_contiki_contiki_ifft_ilog2.gr,2,13,0,0.02,1,0,0
CFG_contiki_contiki_ifft_sinI.gr,1,20,0,0.01,1,0,0
CFG_contiki_contiki_ipolite_ipolite_cancel.gr,2,14,0,0.01,1,0,0
CFG_contiki_contiki_ipolite_ipolite_close.gr,2,16,0,0.01,1,0,0
CFG_contiki_contiki_ipolite_ipolite_open.gr,1,15,0,0.01,1,0,0
CFG_contiki_contiki_ipolite_ipolite_send.gr,3,48,0,0.01,1,0,0
CFG_contiki_contiki_ipolite_recv.gr,2,65,0,0.02,1,0,0
CFG_contiki_contiki_ipolite_send.gr,2,22,0,0.02,1,0,0
CFG_contiki_contiki_ipolite_sent.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_ircc_copystr.gr,2,18,0,0.02,1,0,0
CFG_contiki_contiki_ircc_data_or_command.gr,2,25,0,0.02,1,0,0
CFG_contiki_contiki_ircc_handle_connection.gr,4,138,32,0.16,4,6475,164
CFG_contiki_contiki_ircc_handle_input.gr,4,330,0,0.04,1,0,0
CFG_contiki_contiki_ircc_ircc_actionmsg.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_appcall.gr,2,36,0,0.02,1,0,0
CFG_contiki_contiki_ircc_ircc_connect.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_init.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_join.gr,1,12,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_list.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_msg.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_part.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_ircc_ircc_quit.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_ircc_join_channel.gr,3,70,0,0.01,1,0,0
CFG_contiki_contiki_ircc_list_channel.gr,3,70,0,0.01,1,0,0
CFG_contiki_contiki_ircc_parse.gr,2,24,0,0.03,1,0,0
CFG_contiki_contiki_ircc_parse_command.gr,1,15,0,0.01,1,0,0
CFG_contiki_contiki_ircc_parse_host.gr,1,15,0,0.02,1,0,0
CFG_contiki_contiki_ircc_parse_name.gr,1,15,0,0.02,1,0,0
CFG_contiki_contiki_ircc_parse_params.gr,2,21,0,0.01,1,0,0
CFG_contiki_contiki_ircc_parse_prefix.gr,2,21,0,0.01,1,0,0
CFG_contiki_contiki_ircc_parse_user.gr,1,15,0,0.01,1,0,0
CFG_contiki_contiki_ircc_parse_whitespace.gr,2,13,0,0.01,1,0,0
