instance,ghtw,triang,balsepkdecomp,globalbipkdecomp,localbipkdecomp,frasmt
hypergraphs_deep200-q16.hg,1,0.04,0.24,0.24,0.3,4.09
hypergraphs_deep200-q17.hg,1,0.03,0.2,0.22,0.33,3.07
hypergraphs_deep200-q18.hg,1,0.04,0.27,0.25,0.28,4.23
hypergraphs_deep200-q19.hg,1,0.04,RTE,0.19,0.28,3.29
hypergraphs_deep200-q20.hg,1,0.04,0.21,0.19,0.28,4.44
hypergraphs_deep300-queries.hg,1,0.04,RTE,0.14,0.26,1.15
hypergraphs_doctors100k-q08.hg,1,0.03,0.22,0.14,0.27,1.38
hypergraphs_doctors100k-q09.hg,1,0.03,0.23,0.14,0.25,1.29
hypergraphs_doctors10k-q08.hg,1,0.03,0.18,0.13,0.21,1.25
hypergraphs_doctors10k-q09.hg,1,0.03,0.19,0.12,0.21,2.16
hypergraphs_doctors1m-q08.hg,1,0.03,0.13,0.13,0.2,3.92
hypergraphs_doctors1m-q09.hg,1,0.02,0.19,0.11,0.2,1.25
hypergraphs_doctors500k-q01.hg,1,0.06,0.19,0.14,0.22,1.26
hypergraphs_doctors500k-q02.hg,1,0.04,0.22,0.12,0.23,3.78
hypergraphs_doctors500k-q03.hg,1,0.03,0.19,0.14,0.21,3.77
hypergraphs_doctors500k-q04.hg,1,0.04,0.19,0.14,0.2,3.79
hypergraphs_doctors500k-q05.hg,1,0.02,0.23,0.13,0.21,1.29
hypergraphs_doctors500k-q07.hg,1,0.03,0.23,0.12,0.25,1.25
hypergraphs_doctors500k-q08.hg,1,0.04,0.23,0.13,0.26,1.29
hypergraphs_doctors500k-q09.hg,1,0.04,0.23,0.13,0.23,1.25
hypergraphs_Dubois-015.xml.hg,2,0.09,0.46,0.35,0.33,212.64
hypergraphs_Dubois-016.xml.hg,2,0.09,0.4,0.39,0.35,239.07
hypergraphs_Dubois-017.xml.hg,2,0.09,0.45,0.4,0.37,308.29
hypergraphs_Dubois-018.xml.hg,2,0.12,0.44,0.46,0.39,369.01
hypergraphs_Dubois-019.xml.hg,2,0.11,0.46,0.38,0.41,406.52
hypergraphs_Dubois-020.xml.hg,2,0.12,0.49,0.41,0.47,496.93
hypergraphs_Dubois-021.xml.hg,2,0.12,0.45,0.48,0.44,550.84
hypergraphs_Dubois-022.xml.hg,2,0.13,0.58,0.48,0.45,626.61
hypergraphs_Dubois-023.xml.hg,2,0.13,0.57,0.47,0.45,750.14
hypergraphs_Dubois-024.xml.hg,2,0.14,0.66,0.51,0.48,850.25
hypergraphs_Dubois-025.xml.hg,2,0.14,0.63,0.51,0.48,931.75
hypergraphs_Dubois-026.xml.hg,2,0.14,0.58,0.63,0.44,1104.79
hypergraphs_Dubois-027.xml.hg,2,0.14,0.66,0.71,0.48,1168.55
hypergraphs_Dubois-028.xml.hg,2,0.15,0.72,0.65,0.48,1350.54
hypergraphs_Dubois-029.xml.hg,2,0.16,0.76,0.67,0.48,1495.09
hypergraphs_Dubois-030.xml.hg,2,0.16,0.83,0.5,0.51,1608.96
hypergraphs_Dubois-035.xml.hg,2,0.18,0.65,0.63,0.51,2559.89
hypergraphs_Dubois-040.xml.hg,2,0.18,1.06,0.74,0.63,TO
hypergraphs_Dubois-045.xml.hg,2,0.21,1.12,0.73,0.64,TO
hypergraphs_Dubois-050.xml.hg,2,0.22,2.04,0.8,0.71,TO
hypergraphs_dubois20.hg,2,0.13,5.05,0.54,0.51,499.5
hypergraphs_dubois21.hg,2,0.13,2.41,0.56,0.57,567.36
hypergraphs_dubois23.hg,2,0.14,2.86,0.67,0.62,716.75
hypergraphs_dubois25.hg,2,0.15,8.37,0.76,0.64,982.3
hypergraphs_dubois27.hg,2,0.16,9.15,0.91,0.65,1157.97
hypergraphs_dubois28.hg,2,0.17,6.31,0.81,0.55,1372.56
hypergraphs_dubois29.hg,2,0.17,8.26,0.89,0.61,1501.78
hypergraphs_dubois30.hg,2,0.17,16.37,0.97,0.63,1705.27
hypergraphs_flat30-1.hg,-1,MO,TO,TO,TO,TO
hypergraphs_flat30-99.hg,-1,MO,TO,TO,TO,TO
hypergraphs_grid2d_10.hg,4,13.15,320.58,TO,TO,1114.62
hypergraphs_grid2d_15.hg,-1,MO,TO,TO,TO,TO
hypergraphs_grid2d_20.hg,-1,MO,TO,TO,TO,TO
hypergraphs_grid2d_25.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_30.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_35.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_40.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_45.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_50.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_60.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_70.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid2d_75.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid3d_5.hg,-1,TO,TO,TO,TO,TO
hypergraphs_grid4d_3.hg,6,967.34,TO,TO,TO,TO
hypergraphs_grid5.hg,3,0.27,1.2,2.02,1.03,42.42
hypergraphs_hole9.hg,-1,TO,TO,TO,TO,TO
hypergraphs_job-10a.hg,1,0.04,RTE,0.35,0.17,9.31
hypergraphs_job-11a.hg,1,0.04,RTE,0.18,0.19,8.03
hypergraphs_job-12a.hg,1,0.03,RTE,0.17,0.3,7.38
hypergraphs_job-13a.hg,1,0.05,RTE,0.34,0.28,10.73
hypergraphs_job-14a.hg,2,0.05,0.27,0.19,0.3,12.8
hypergraphs_job-15a.hg,1,0.05,RTE,0.22,0.3,11.93
hypergraphs_job-16a.hg,1,0.05,RTE,0.31,0.28,10.94
hypergraphs_job-17a.hg,1,0.05,RTE,0.21,0.26,7.73
hypergraphs_job-18a.hg,1,0.04,RTE,0.17,0.27,8.19
hypergraphs_job-19a.hg,1,0.04,RTE,0.38,0.35,12.1
hypergraphs_job-1a.hg,1,0.03,RTE,0.33,0.2,4.85
hypergraphs_job-20a.hg,2,0.05,0.22,0.29,0.27,14.96
hypergraphs_job-21a.hg,1,0.05,RTE,0.26,0.26,7.85
hypergraphs_job-22a.hg,2,0.05,RTE,0.29,0.23,14.34
hypergraphs_job-23a.hg,2,0.05,0.24,0.29,0.35,12.89
hypergraphs_job-24a.hg,1,0.05,RTE,0.26,0.31,12.5
hypergraphs_job-25a.hg,1,0.03,RTE,0.22,0.26,8.73
hypergraphs_job-26a.hg,2,0.05,0.28,0.18,0.31,14.81
hypergraphs_job-27a.hg,1,0.05,RTE,0.15,0.34,6.52
hypergraphs_job-28a.hg,2,0.04,RTE,0.21,0.32,17.01
hypergraphs_job-29a.hg,2,0.08,0.35,0.25,0.29,22.53
hypergraphs_job-2a.hg,1,0.04,RTE,0.14,0.23,7.79
hypergraphs_job-30a.hg,1,0.05,RTE,0.18,0.29,11.03
hypergraphs_job-31a.hg,1,0.05,RTE,0.18,0.32,19.27
hypergraphs_job-32a.hg,1,0.04,RTE,0.13,0.32,18.38
hypergraphs_job-33a.hg,1,0.06,RTE,0.21,0.3,20.61
hypergraphs_job-3a.hg,1,0.03,RTE,0.13,0.24,14.67
hypergraphs_job-4a.hg,1,0.03,RTE,0.39,0.26,7.42
hypergraphs_job-5a.hg,1,0.03,RTE,0.39,0.31,6.69
hypergraphs_job-6a.hg,1,0.04,RTE,0.38,0.27,8.54
hypergraphs_job-7a.hg,1,0.03,RTE,0.4,0.23,9.62
hypergraphs_job-8a.hg,1,0.04,RTE,0.37,0.24,10.07
hypergraphs_job-9a.hg,1,0.04,RTE,0.41,0.25,11.67
hypergraphs_Kakuro-easy-000-ext.xml.hg,3,0.08,0.33,4.15,0.33,15.58
hypergraphs_Kakuro-easy-001-ext.xml.hg,3,0.17,9.97,48.91,1.22,108.08
hypergraphs_Kakuro-easy-002-ext.xml.hg,2,0.15,0.63,0.49,0.47,367.59
hypergraphs_Kakuro-easy-003-ext.xml.hg,3,0.19,15.02,1086.92,269.65,486.89
hypergraphs_Kakuro-easy-004-ext.xml.hg,3,1.48,TO,886.27,32.66,1033.43
hypergraphs_Kakuro-easy-005-ext.xml.hg,4,5.93,TO,TO,TO,1061.57
hypergraphs_Kakuro-easy-006-ext.xml.hg,4,1.62,TO,TO,TO,1196.42
hypergraphs_Kakuro-easy-007-ext.xml.hg,3,4.11,8.55,971.93,RTE,1499.05
hypergraphs_Kakuro-easy-008-ext.xml.hg,4,1.57,TO,TO,TO,1095.14
hypergraphs_Kakuro-easy-009-ext.xml.hg,3,2.39,TO,568.02,88.04,1205.44
hypergraphs_Kakuro-easy-010-ext.xml.hg,3,1.8,TO,910.98,RTE,1273.36
hypergraphs_Kakuro-easy-011-ext.xml.hg,4,8.31,TO,TO,TO,1155.13
hypergraphs_Kakuro-easy-012-ext.xml.hg,3,3.45,726.3,571.47,18.23,1297.79
hypergraphs_Kakuro-easy-013-ext.xml.hg,3,12.64,59.33,1615.3,20.49,1570.88
hypergraphs_Kakuro-easy-014-ext.xml.hg,3,1.32,TO,469.81,13.82,890.75
hypergraphs_Kakuro-easy-015-ext.xml.hg,4,14.61,TO,TO,TO,1277.5
hypergraphs_Kakuro-easy-016-ext.xml.hg,3,2.73,TO,RTE,231.11,1516.14
hypergraphs_Kakuro-easy-017-ext.xml.hg,3,6.75,15.9,1414.36,26.13,1660.08
hypergraphs_Kakuro-easy-018-ext.xml.hg,3,0.43,TO,821.75,17.29,1226.4
hypergraphs_Kakuro-easy-019-ext.xml.hg,4,13.52,TO,TO,TO,1577.22
hypergraphs_Kakuro-easy-020-ext.xml.hg,4,12.8,TO,TO,TO,1327.58
hypergraphs_Kakuro-easy-021-ext.xml.hg,3,18.25,TO,1211.05,23.84,1400.61
hypergraphs_Kakuro-easy-022-ext.xml.hg,3,3.76,TO,RTE,19.18,1349.83
hypergraphs_Kakuro-easy-023-ext.xml.hg,4,2.01,TO,TO,TO,1385.45
hypergraphs_Kakuro-easy-024-ext.xml.hg,3,1.24,TO,969.17,57.52,1302.4
hypergraphs_Kakuro-easy-025-ext.xml.hg,4,19.21,TO,TO,TO,1328.65
hypergraphs_Kakuro-easy-026-ext.xml.hg,4,72.68,TO,TO,TO,1195.16
hypergraphs_Kakuro-easy-027-ext.xml.hg,4,1.03,TO,TO,TO,1522.69
hypergraphs_Kakuro-easy-028-ext.xml.hg,4,115.53,TO,TO,TO,1579.35
hypergraphs_Kakuro-easy-029-ext.xml.hg,3,0.51,4.0,1046.18,20.65,1195.67
hypergraphs_Kakuro-easy-030-ext.xml.hg,4,1.78,TO,TO,TO,1243.9
hypergraphs_Kakuro-easy-031-ext.xml.hg,4,2.35,TO,TO,TO,1062.17
hypergraphs_Kakuro-easy-032-ext.xml.hg,3,13.55,100.69,920.05,19.61,1404.26
hypergraphs_Kakuro-easy-033-ext.xml.hg,4,7.53,TO,TO,TO,1283.21
hypergraphs_Kakuro-easy-034-ext.xml.hg,3,0.7,TO,1656.45,73.05,1592.19
hypergraphs_Kakuro-easy-035-ext.xml.hg,3,3.26,67.08,1453.3,20.3,1272.63
hypergraphs_Kakuro-easy-036-ext.xml.hg,3,0.48000000000000004,3.18,1177.47,18.2,1202.54
hypergraphs_Kakuro-easy-037-ext.xml.hg,5,87.22,TO,TO,TO,TO
hypergraphs_Kakuro-easy-038-ext.xml.hg,4,102.8,TO,TO,TO,1684.4
hypergraphs_Kakuro-easy-039-ext.xml.hg,4,564.85,TO,TO,TO,2357.97
hypergraphs_Kakuro-easy-040-ext.xml.hg,4,1.69,TO,TO,TO,1482.15
hypergraphs_Kakuro-easy-041-ext.xml.hg,5,311.51,TO,TO,TO,TO
hypergraphs_Kakuro-easy-042-ext.xml.hg,4,5.74,TO,TO,TO,1457.77
hypergraphs_Kakuro-easy-043-ext.xml.hg,4,22.51,TO,TO,TO,1392.43
hypergraphs_Kakuro-easy-044-ext.xml.hg,4,11.34,TO,TO,TO,1427.0
hypergraphs_Kakuro-easy-045-ext.xml.hg,5,3587.7,TO,TO,TO,TO
hypergraphs_Kakuro-easy-046-ext.xml.hg,4,19.25,TO,TO,TO,1394.48
hypergraphs_Kakuro-easy-047-ext.xml.hg,5,64.57,TO,TO,TO,TO
hypergraphs_Kakuro-easy-048-ext.xml.hg,4,82.61,TO,TO,TO,2356.64
hypergraphs_Kakuro-easy-049-ext.xml.hg,3,603.87,TO,TO,113.44,2973.39
hypergraphs_Kakuro-easy-050-ext.xml.hg,4,15.15,TO,TO,TO,3453.58
hypergraphs_Kakuro-easy-051-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-052-ext.xml.hg,4,1136.71,981.84,TO,TO,TO
hypergraphs_Kakuro-easy-053-ext.xml.hg,5,930.0,TO,TO,TO,TO
hypergraphs_Kakuro-easy-054-ext.xml.hg,4,23.85,TO,TO,TO,2787.15
hypergraphs_Kakuro-easy-055-ext.xml.hg,4,1894.2,TO,TO,TO,2621.7
hypergraphs_Kakuro-easy-056-ext.xml.hg,3,22.47,TO,2833.26,RTE,2262.84
hypergraphs_Kakuro-easy-057-ext.xml.hg,4,46.71,TO,TO,TO,2412.0
hypergraphs_Kakuro-easy-058-ext.xml.hg,3,0.4,3280.19,TO,TO,133.5
hypergraphs_Kakuro-easy-059-ext.xml.hg,3,4.23,TO,TO,177.53,TO
hypergraphs_Kakuro-easy-060-ext.xml.hg,4,55.02,TO,TO,TO,2047.02
hypergraphs_Kakuro-easy-061-ext.xml.hg,3,13.66,TO,TO,191.47,TO
