instance,tw,triang_tw,tamaki,quickbb,p17
CFG_contiki_contiki_checkpoint_checkpoint_rollback.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate.gr,2,0.01,0.21000000000000002,0.0,0.04
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_new.gr,1,0.01,0.16,0.0,0.04
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_num_estimates.gr,2,0.01,0.21000000000000002,0.0,0.05
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_update_rx.gr,1,0.01,0.18,0.0,0.04
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_update_tx.gr,2,0.01,0.24000000000000002,0.02,0.04
CFG_contiki_contiki_collect-link-estimate_collect_link_estimate_update_tx_fail.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_init.gr,0,0.01,0.15,0.01,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_is_congested.gr,2,0.01,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_rx.gr,1,0.01,0.2,0.01,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_link_estimate.gr,2,0.01,0.16,0.01,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list.gr,1,0.01,0.15,0.0,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_add.gr,3,0.01,0.36,0.01,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_best.gr,2,0.01,0.24,0.01,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_find.gr,2,0.02,0.22,0.01,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_get.gr,2,0.01,0.22000000000000003,0.01,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_new.gr,1,0.01,0.18,0.0,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_num.gr,1,0.01,0.16,0.0,0.04
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_purge.gr,2,0.03,0.22,0.01,0.04
CFG_contiki_contiki_collect-neighbor_collect_neighbor_list_remove.gr,2,0.01,0.16999999999999998,0.01,0.05
CFG_contiki_contiki_collect-neighbor_collect_neighbor_rtmetric.gr,1,0.01,0.21,0.0,0.04
CFG_contiki_contiki_collect-neighbor_collect_neighbor_rtmetric_link_estimate.gr,1,0.02,0.18,0.0,0.04
CFG_contiki_contiki_collect-neighbor_collect_neighbor_set_congested.gr,1,0.01,0.17,0.0,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_tx.gr,1,0.03,0.18,0.0,0.02
CFG_contiki_contiki_collect-neighbor_collect_neighbor_tx_fail.gr,1,0.02,0.21,0.01,0.03
CFG_contiki_contiki_collect-neighbor_collect_neighbor_update_rtmetric.gr,2,0.01,0.21,0.0,0.04
CFG_contiki_contiki_collect-neighbor_periodic.gr,2,0.03,0.36000000000000004,0.11,0.04
CFG_contiki_contiki_collect-view-template_collect_view_arch_read_sensors.gr,1,0.01,0.2,0.0,0.05
CFG_contiki_contiki_collect-view_collect_view_construct_message.gr,2,0.01,0.35,0.03,0.03
CFG_contiki_contiki_collect_add_packet_to_recent_packets.gr,2,0.01,0.29000000000000004,0.02,0.04
CFG_contiki_contiki_collect_bump_advertisement.gr,1,0.01,0.2,0.0,0.03
CFG_contiki_contiki_collect_collect_close.gr,2,0.01,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_collect_collect_depth.gr,1,0.01,0.18,0.0,0.02
CFG_contiki_contiki_collect_collect_open.gr,1,0.01,0.27,0.01,0.03
CFG_contiki_contiki_collect_collect_parent.gr,1,0.02,0.19,0.01,0.03
CFG_contiki_contiki_collect_collect_print_stats.gr,1,0.01,0.16,0.0,0.03
CFG_contiki_contiki_collect_collect_purge.gr,1,0.01,0.16,0.0,0.03
CFG_contiki_contiki_collect_collect_send.gr,2,0.02,0.44,0.25,0.03
CFG_contiki_contiki_collect_collect_set_keepalive.gr,1,0.01,0.18,0.0,0.03
CFG_contiki_contiki_collect_collect_set_sink.gr,2,0.01,0.29000000000000004,0.02,0.02
CFG_contiki_contiki_collect_enqueue_dummy_packet.gr,2,0.01,0.24,0.01,0.03
CFG_contiki_contiki_collect_handle_ack.gr,2,0.01,0.51,0.4,0.03
CFG_contiki_contiki_collect_node_packet_received.gr,3,0.01,0.83,0.04,0.04
CFG_contiki_contiki_collect_node_packet_sent.gr,2,0.01,0.26,0.03,0.04
CFG_contiki_contiki_collect_proactive_probing_callback.gr,3,0.02,0.39,0.01,0.03
CFG_contiki_contiki_collect_received_announcement.gr,2,0.01,0.3,0.04,0.04
CFG_contiki_contiki_collect_retransmit_callback.gr,2,0.03,0.21000000000000002,0.01,0.03
CFG_contiki_contiki_collect_retransmit_current_packet.gr,2,0.03,0.41000000000000003,0.18000000000000002,0.02
CFG_contiki_contiki_collect_retransmit_not_sent_callback.gr,1,0.01,0.18,0.0,0.04
CFG_contiki_contiki_collect_rtmetric_compute.gr,2,0.01,0.21,0.0,0.03
CFG_contiki_contiki_collect_send_ack.gr,1,0.01,0.26,0.01,0.03
CFG_contiki_contiki_collect_send_keepalive.gr,2,0.01,0.22,0.0,0.03
CFG_contiki_contiki_collect_send_next_packet.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_collect_send_packet.gr,1,0.01,0.18,0.0,0.03
CFG_contiki_contiki_collect_send_queued_packet.gr,2,0.03,0.44,0.23,0.02
CFG_contiki_contiki_collect_set_keepalive_timer.gr,2,0.02,0.27,0.01,0.02
CFG_contiki_contiki_collect_timedout.gr,2,0.03,0.24,0.01,0.02
CFG_contiki_contiki_collect_update_parent.gr,2,0.03,0.32,0.09,0.02
CFG_contiki_contiki_collect_update_rtmetric.gr,2,0.01,0.23,0.02,0.02
CFG_contiki_contiki_compower_compower_accumulate.gr,1,0.03,0.19,0.0,0.03
CFG_contiki_contiki_compower_compower_accumulate_attrs.gr,1,0.02,0.21,0.0,0.02
CFG_contiki_contiki_compower_compower_attrconv.gr,1,0.01,0.2,0.0,0.03
CFG_contiki_contiki_compower_compower_clear.gr,1,0.01,0.19,0.01,0.02
CFG_contiki_contiki_compower_compower_init.gr,1,0.01,0.2,0.0,0.03
CFG_contiki_contiki_contiki-desktop-main_main.gr,2,0.02,0.23,0.01,0.03
CFG_contiki_contiki_contikimac_broadcast_rate_drop.gr,1,0.03,0.16,0.0,0.02
CFG_contiki_contiki_contikimac_contikimac_debug_print.gr,1,0.01,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_contikimac_duty_cycle.gr,1,0.03,0.16,0.0,0.03
CFG_contiki_contiki_contikimac_init.gr,1,0.03,0.19,0.0,0.02
CFG_contiki_contiki_contikimac_input_packet.gr,3,0.01,0.46,0.02,0.04
CFG_contiki_contiki_contikimac_off.gr,2,0.01,0.2,0.0,0.04
CFG_contiki_contiki_contikimac_on.gr,2,0.01,0.19,0.0,0.03
CFG_contiki_contiki_contikimac_powercycle.gr,5,0.02,0.9199999999999999,0.21,0.06
CFG_contiki_contiki_contikimac_powercycle_turn_radio_off.gr,2,0.02,0.2,0.0,0.02
CFG_contiki_contiki_contikimac_powercycle_turn_radio_on.gr,2,0.01,0.2,0.01,0.04
CFG_contiki_contiki_contikimac_qsend_packet.gr,2,0.02,0.2,0.0,0.03
CFG_contiki_contiki_contikimac_schedule_powercycle.gr,2,0.02,0.23,0.04,0.04
CFG_contiki_contiki_contikimac_schedule_powercycle_fixed.gr,2,0.01,0.24000000000000002,0.02,0.02
CFG_contiki_contiki_contikimac_send_packet.gr,3,0.03,0.87,0.1,0.03
CFG_contiki_contiki_contikimac_turn_off.gr,2,0.01,0.19,0.01,0.03
CFG_contiki_contiki_contikimac_turn_on.gr,2,0.01,0.23,0.01,0.03
CFG_contiki_contiki_crc16_crc16_add.gr,1,0.02,0.21,0.0,0.03
CFG_contiki_contiki_crc16_crc16_data.gr,2,0.01,0.21,0.0,0.02
CFG_contiki_contiki_csma_channel_check_interval.gr,2,0.01,0.2,0.0,0.02
CFG_contiki_contiki_csma_default_timebase.gr,2,0.01,0.21,0.0,0.03
CFG_contiki_contiki_csma_free_queued_packet.gr,2,0.01,0.27,0.02,0.03
CFG_contiki_contiki_csma_init.gr,1,0.01,0.15,0.0,0.02
CFG_contiki_contiki_csma_input_packet.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_csma_off.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_csma_on.gr,1,0.01,0.17,0.0,0.03
CFG_contiki_contiki_csma_packet_sent.gr,2,0.02,0.42,0.21,0.03
CFG_contiki_contiki_csma_send_packet.gr,2,0.03,0.36,0.15,0.03
CFG_contiki_contiki_csma_start_transmission_timer.gr,2,0.02,0.22,0.01,0.03
CFG_contiki_contiki_csma_transmit_queued_packet.gr,2,0.01,0.21,0.01,0.03
CFG_contiki_contiki_ctimer_ctimer_expired.gr,3,0.01,0.22,0.0,0.03
CFG_contiki_contiki_ctimer_ctimer_init.gr,1,0.01,0.2,0.0,0.02
CFG_contiki_contiki_ctimer_ctimer_reset.gr,2,0.01,0.18,0.0,0.02
CFG_contiki_contiki_ctimer_ctimer_restart.gr,2,0.01,0.19,0.0,0.03
CFG_contiki_contiki_ctimer_ctimer_set.gr,2,0.01,0.25,0.01,0.03
CFG_contiki_contiki_ctimer_ctimer_stop.gr,2,0.01,0.23,0.0,0.04
CFG_contiki_contiki_ctimer_process_thread_ctimer_process.gr,3,0.02,0.33,0.0,0.04
CFG_contiki_contiki_ctk_activate.gr,3,0.01,0.41000000000000003,0.01,0.04
CFG_contiki_contiki_ctk_activate_menu.gr,3,0.01,0.27,0.0,0.03
CFG_contiki_contiki_ctk_add_redrawwidget.gr,3,0.01,0.24000000000000002,0.0,0.04
CFG_contiki_contiki_ctk_arrange_icons.gr,2,0.01,0.21,0.01,0.03
CFG_contiki_contiki_ctk_ctk_desktop_height.gr,1,0.02,0.18,0.0,0.03
CFG_contiki_contiki_ctk_ctk_desktop_redraw.gr,3,0.03,0.24,0.0,0.04
CFG_contiki_contiki_ctk_ctk_desktop_width.gr,1,0.01,0.19,0.02,0.02
CFG_contiki_contiki_ctk_ctk_dialog_close.gr,1,0.01,0.14,0.0,0.03
CFG_contiki_contiki_ctk_ctk_dialog_new.gr,1,0.01,0.18,0.0,0.11
CFG_contiki_contiki_ctk_ctk_dialog_open.gr,1,0.01,0.15,0.0,0.12
CFG_contiki_contiki_ctk_ctk_icon_add.gr,1,0.03,0.18,0.02,0.11
CFG_contiki_contiki_ctk_ctk_menu_add.gr,2,0.02,0.25,0.01,0.12
CFG_contiki_contiki_ctk_ctk_menu_new.gr,1,0.01,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_ctk_ctk_menu_remove.gr,2,0.01,0.22,0.01,0.03
CFG_contiki_contiki_ctk_ctk_menuitem_add.gr,2,0.01,0.22,0.01,0.02
CFG_contiki_contiki_ctk_ctk_mode_get.gr,1,0.01,0.15,0.01,0.02
CFG_contiki_contiki_ctk_ctk_mode_set.gr,1,0.01,0.14,0.0,0.03
CFG_contiki_contiki_ctk_ctk_restore.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_ctk_ctk_widget_add.gr,2,0.02,0.21,0.01,0.02
CFG_contiki_contiki_ctk_ctk_widget_redraw.gr,2,0.01,0.2,0.0,0.02
CFG_contiki_contiki_ctk_ctk_window_clear.gr,1,0.02,0.21000000000000002,0.0,0.03
CFG_contiki_contiki_ctk_ctk_window_close.gr,3,0.01,0.33,0.02,0.02
CFG_contiki_contiki_ctk_ctk_window_new.gr,1,0.02,0.17,0.0,0.03
CFG_contiki_contiki_ctk_ctk_window_open.gr,2,0.02,0.30000000000000004,0.06,0.02
CFG_contiki_contiki_ctk_ctk_window_redraw.gr,2,0.01,0.21,0.01,0.02
CFG_contiki_contiki_ctk_do_redraw_all.gr,2,0.03,0.39,0.22,0.03
CFG_contiki_contiki_ctk_make_desktopmenu.gr,2,0.01,0.23,0.02,0.03
CFG_contiki_contiki_ctk_make_windowbuttons.gr,2,0.01,0.26,0.01,0.03
CFG_contiki_contiki_ctk_menus_input.gr,2,0.01,0.32,0.06,0.02
CFG_contiki_contiki_ctk_process_thread_ctk_process.gr,3,0.02,1.04,0.08,0.03
CFG_contiki_contiki_ctk_select_widget.gr,2,0.01,0.25,0.05,0.02
CFG_contiki_contiki_ctk_switch_focus_widget.gr,3,0.01,0.33,0.0,0.03
CFG_contiki_contiki_ctk_switch_menu_item.gr,2,0.01,0.31,0.05,0.02
CFG_contiki_contiki_ctk_switch_open_menu.gr,3,0.01,0.3,0.0,0.02
CFG_contiki_contiki_ctk_textentry_input.gr,3,0.02,0.52,0.02,0.03
CFG_contiki_contiki_ctk_unfocus_widget.gr,2,0.02,0.23,0.01,0.03
CFG_contiki_contiki_ctk_widget_redraw.gr,3,0.01,0.24,0.0,0.02
CFG_contiki_contiki_ctk_window_new.gr,2,0.01,0.32,0.11,0.02
CFG_contiki_contiki_cxmac_channel_check_interval.gr,1,0.01,0.16999999999999998,0.0,0.02
CFG_contiki_contiki_cxmac_cpowercycle.gr,4,0.02,0.36000000000000004,0.01,0.02
CFG_contiki_contiki_cxmac_cschedule_powercycle.gr,2,0.01,0.18,0.01,0.04
CFG_contiki_contiki_cxmac_cxmac_init.gr,1,0.01,0.21,0.0,0.04
CFG_contiki_contiki_cxmac_cxmac_set_announcement_radio_txpower.gr,1,0.01,0.14,0.0,0.02
CFG_contiki_contiki_cxmac_input_packet.gr,3,0.01,0.42000000000000004,0.0,0.04
CFG_contiki_contiki_cxmac_off.gr,2,0.0,0.16,0.0,0.03
CFG_contiki_contiki_cxmac_on.gr,2,0.01,0.15,0.0,0.04
CFG_contiki_contiki_cxmac_powercycle_turn_radio_off.gr,2,0.01,0.19,0.0,0.04
CFG_contiki_contiki_cxmac_powercycle_turn_radio_on.gr,2,0.01,0.19,0.0,0.03
CFG_contiki_contiki_cxmac_qsend_packet.gr,2,0.01,0.2,0.01,0.03
CFG_contiki_contiki_cxmac_register_encounter.gr,2,0.01,0.30000000000000004,0.05,0.03
CFG_contiki_contiki_cxmac_send_packet.gr,3,0.01,1.08,0.11,0.05
CFG_contiki_contiki_cxmac_turn_off.gr,2,0.01,0.21000000000000002,0.0,0.04
CFG_contiki_contiki_cxmac_turn_on.gr,1,0.02,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_dhcpc_add_end.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_dhcpc_add_msg_type.gr,1,0.03,0.18,0.0,0.03
CFG_contiki_contiki_dhcpc_add_req_ipaddr.gr,1,0.02,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_dhcpc_add_req_options.gr,1,0.01,0.21,0.0,0.03
CFG_contiki_contiki_dhcpc_add_server_id.gr,1,0.02,0.18,0.0,0.02
CFG_contiki_contiki_dhcpc_create_msg.gr,1,0.02,0.32,0.01,0.03
CFG_contiki_contiki_dhcpc_dhcpc_appcall.gr,2,0.01,0.15,0.0,0.03
CFG_contiki_contiki_dhcpc_dhcpc_init.gr,2,0.02,0.24,0.0,0.03
CFG_contiki_contiki_dhcpc_dhcpc_request.gr,2,0.01,0.26,0.01,0.02
CFG_contiki_contiki_dhcpc_handle_dhcp.gr,6,0.7,1.59,TO,0.05
CFG_contiki_contiki_dhcpc_msg_for_me.gr,3,0.01,0.31,0.0,0.03
CFG_contiki_contiki_dhcpc_parse_msg.gr,2,0.01,0.26,0.05,0.02
CFG_contiki_contiki_dhcpc_parse_options.gr,3,0.02,0.39,0.01,0.02
CFG_contiki_contiki_dhcpc_send_discover.gr,1,0.01,0.22,0.0,0.02
CFG_contiki_contiki_dhcpc_send_request.gr,1,0.01,0.23,0.0,0.02
CFG_contiki_contiki_elfloader_elfloader_init.gr,1,0.01,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_elfloader_elfloader_load.gr,3,0.04,1.7400000000000002,0.11,0.04
CFG_contiki_contiki_elfloader_find_local_symbol.gr,3,0.03,0.37,0.01,0.03
CFG_contiki_contiki_elfloader_find_program_processes.gr,3,0.02,0.32,0.01,0.02
CFG_contiki_contiki_elfloader_relocate_section.gr,3,0.01,0.71,0.04,0.03
CFG_contiki_contiki_elfloader_seek_read.gr,1,0.01,0.19,0.01,0.03
CFG_contiki_contiki_energest_energest_flush.gr,1,0.01,0.18,0.0,0.03
CFG_contiki_contiki_energest_energest_init.gr,1,0.01,0.16,0.01,0.02
CFG_contiki_contiki_energest_energest_type_set.gr,1,0.01,0.15000000000000002,0.0,0.02
CFG_contiki_contiki_energest_energest_type_time.gr,1,0.01,0.18,0.0,0.02
CFG_contiki_contiki_etimer_add_timer.gr,3,0.03,0.24,0.0,0.02
CFG_contiki_contiki_etimer_etimer_adjust.gr,1,0.01,0.2,0.0,0.03
CFG_contiki_contiki_etimer_etimer_expiration_time.gr,1,0.01,0.2,0.0,0.03
CFG_contiki_contiki_etimer_etimer_expired.gr,1,0.01,0.18,0.01,0.02
CFG_contiki_contiki_etimer_etimer_next_expiration_time.gr,2,0.03,0.2,0.0,0.04
CFG_contiki_contiki_etimer_etimer_pending.gr,1,0.01,0.2,0.0,0.04
CFG_contiki_contiki_etimer_etimer_request_poll.gr,1,0.01,0.19,0.0,0.04
CFG_contiki_contiki_etimer_etimer_reset.gr,1,0.01,0.16,0.0,0.02
CFG_contiki_contiki_etimer_etimer_restart.gr,1,0.01,0.18,0.0,0.04
CFG_contiki_contiki_etimer_etimer_set.gr,1,0.01,0.16,0.0,0.04
CFG_contiki_contiki_etimer_etimer_start_time.gr,1,0.01,0.16999999999999998,0.0,0.02
CFG_contiki_contiki_etimer_etimer_stop.gr,3,0.01,0.24000000000000002,0.0,0.03
CFG_contiki_contiki_etimer_process_thread_etimer_process.gr,3,0.03,0.42,0.01,0.04
CFG_contiki_contiki_etimer_update_time.gr,2,0.01,0.26,0.04,0.02
CFG_contiki_contiki_frame802154_addr_len.gr,2,0.02,0.21000000000000002,0.0,0.03
CFG_contiki_contiki_frame802154_field_len.gr,2,0.01,0.26,0.02,0.02
CFG_contiki_contiki_frame802154_frame802154_create.gr,2,0.02,0.57,0.71,0.04
CFG_contiki_contiki_frame802154_frame802154_hdrlen.gr,1,0.02,0.22,0.0,0.02
CFG_contiki_contiki_frame802154_frame802154_parse.gr,2,0.03,0.83,1.78,0.03
CFG_contiki_contiki_framer-802154_create.gr,2,0.01,0.47000000000000003,0.54,0.03
CFG_contiki_contiki_framer-802154_is_broadcast_addr.gr,2,0.01,0.24,0.01,0.02
CFG_contiki_contiki_framer-802154_parse.gr,3,0.01,0.44999999999999996,0.01,0.02
CFG_contiki_contiki_framer-nullmac_create.gr,2,0.01,0.21000000000000002,0.01,0.02
CFG_contiki_contiki_framer-nullmac_parse.gr,2,0.01,0.19,0.01,0.03
CFG_contiki_contiki_hc_hc_compress.gr,2,0.01,0.37,0.12,0.03
CFG_contiki_contiki_hc_hc_inflate.gr,2,0.01,0.42,0.13,0.03
CFG_contiki_contiki_hc_hc_init.gr,1,0.01,0.15,0.0,0.03
CFG_contiki_contiki_httpd-cfs_handle_connection.gr,2,0.01,0.19,0.0,0.02
CFG_contiki_contiki_httpd-cfs_handle_input.gr,3,0.01,0.43,0.01,0.03
CFG_contiki_contiki_httpd-cfs_handle_output.gr,4,0.01,0.48,0.01,0.02
CFG_contiki_contiki_httpd-cfs_httpd_appcall.gr,2,0.02,0.43000000000000005,0.38,0.03
CFG_contiki_contiki_httpd-cfs_httpd_init.gr,1,0.01,0.2,0.0,0.02
CFG_contiki_contiki_httpd-cfs_send_file.gr,3,0.02,0.27,0.0,0.03
CFG_contiki_contiki_httpd-cfs_send_headers.gr,3,0.02,0.45999999999999996,0.01,0.03
CFG_contiki_contiki_httpd-cfs_send_string.gr,2,0.01,0.22000000000000003,0.01,0.03
CFG_contiki_contiki_ifft_bitrev.gr,2,0.02,0.19,0.0,0.02
CFG_contiki_contiki_ifft_cosI.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_ifft_ifft.gr,2,0.02,0.69,1.1300000000000001,0.03
CFG_contiki_contiki_ifft_ilog2.gr,2,0.02,0.16999999999999998,0.0,0.02
CFG_contiki_contiki_ifft_sinI.gr,1,0.01,0.18,0.0,0.02
CFG_contiki_contiki_ipolite_ipolite_cancel.gr,2,0.01,0.16999999999999998,0.0,0.03
CFG_contiki_contiki_ipolite_ipolite_close.gr,2,0.01,0.16,0.0,0.02
CFG_contiki_contiki_ipolite_ipolite_open.gr,1,0.01,0.16999999999999998,0.0,0.02
CFG_contiki_contiki_ipolite_ipolite_send.gr,3,0.01,0.27,0.01,0.03
CFG_contiki_contiki_ipolite_recv.gr,2,0.02,0.35000000000000003,0.07,0.02
CFG_contiki_contiki_ipolite_send.gr,2,0.02,0.23,0.01,0.02
CFG_contiki_contiki_ipolite_sent.gr,1,0.01,0.16,0.0,0.04
CFG_contiki_contiki_ircc_copystr.gr,2,0.02,0.21,0.0,0.04
CFG_contiki_contiki_ircc_data_or_command.gr,2,0.02,0.2,0.01,0.02
CFG_contiki_contiki_ircc_handle_connection.gr,4,0.16,0.5700000000000001,0.17,0.06
