instance,fhtw,n,kn,time,phase,minseps,pmcs
hypergraphs_3.dtl,1.500,8,0,0.01,1,0,0
hypergraphs_40.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_41.dtl,1.500,5,0,0.01,1,0,0
hypergraphs_42.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_43.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_44.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_45.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_46.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_47.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_48.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_49.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_4.dtl,2.000,10,5,0.03,5,5,10
hypergraphs_50.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_51.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_52.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_53.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_54.dtl,1.500,4,0,0.01,1,0,0
hypergraphs_55.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_56.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_57.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_58.dtl,1.500,4,0,0.01,1,0,0
hypergraphs_59.dtl,1.500,5,0,0.02,1,0,0
hypergraphs_5.dtl,2.000,10,5,0.03,5,5,10
hypergraphs_60.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_61.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_62.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_63.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_64.dtl,2.000,4,4,0.02,5,2,4
hypergraphs_65.dtl,1.500,5,0,0.01,1,0,0
hypergraphs_66.dtl,1.500,4,0,0.01,1,0,0
hypergraphs_67.dtl,1.500,5,0,0.03,1,0,0
hypergraphs_68.dtl,1.500,3,0,0.01,1,0,0
hypergraphs_69.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_6.dtl,1.500,7,0,0.01,1,0,0
hypergraphs_70.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_7.dtl,1.500,9,0,0.02,1,0,0
hypergraphs_8.dtl,2.000,7,5,0.02,5,5,10
hypergraphs_9.dtl,1.500,9,0,0.01,1,0,0
hypergraphs_adder_15.hg,2.000,106,5,0.15,5,18,60
hypergraphs_adder_25.hg,2.000,176,5,0.24000000000000002,5,20,100
hypergraphs_adder_50.hg,2.000,351,5,0.49,5,26,200
hypergraphs_adder_75.hg,2.000,526,5,0.84,5,28,300
hypergraphs_adder_99.hg,2.000,694,5,1.15,5,30,396
hypergraphs_aim-50-1_6-no-3.hg,-1,50,50,TO,4,4043198,79763967
hypergraphs_aim-50-1-6-sat-1.xml.hg,-1,50,50,TO,4,3784364,67287306
hypergraphs_aim-50-1-6-sat-2.xml.hg,-1,50,50,TO,4,3947973,70012906
hypergraphs_aim-50-1-6-sat-3.xml.hg,-1,50,50,TO,4,4810839,80339277
hypergraphs_aim-50-1-6-sat-4.xml.hg,-1,50,50,TO,4,5855904,101230463
hypergraphs_aim-50-1-6-unsat-1.xml.hg,-1,50,50,TO,4,2243911,33995579
hypergraphs_aim-50-1-6-unsat-2.xml.hg,-1,50,50,TO,4,3748325,64734810
hypergraphs_aim-50-1-6-unsat-3.xml.hg,-1,50,50,TO,4,4043198,79763967
hypergraphs_aim-50-1-6-unsat-4.xml.hg,-1,50,50,TO,4,4477013,73339822
hypergraphs_aim-50-2_0-no-3.hg,-1,50,50,TO,4,5089331,63021244
hypergraphs_aim-50-2-0-sat-1.xml.hg,-1,50,50,TO,4,3938565,53203138
hypergraphs_aim-50-2-0-sat-2.xml.hg,-1,50,50,TO,4,4580548,65862468
hypergraphs_aim-50-2-0-sat-3.xml.hg,-1,50,50,TO,4,3291848,44791526
hypergraphs_aim-50-2-0-sat-4.xml.hg,-1,50,50,TO,4,5232716,81296767
hypergraphs_aim-50-2-0-unsat-1.xml.hg,-1,50,50,TO,4,3505035,41949049
hypergraphs_aim-50-2-0-unsat-2.xml.hg,-1,50,50,TO,4,4148673,50798029
hypergraphs_aim-50-2-0-unsat-3.xml.hg,-1,50,50,TO,4,5089331,63021244
hypergraphs_aim-50-2-0-unsat-4.xml.hg,-1,50,50,TO,4,3466714,42944687
hypergraphs_aim-50-2_0-yes1-3.hg,-1,50,50,TO,4,3291848,44791526
hypergraphs_aim-50-3_4-yes1-3.hg,-1,50,50,TO,4,614316,5328980
hypergraphs_atv_partial_system.hg,3.000,125,59,10.69,5,3475,82375
hypergraphs_b02.hg,3.000,27,25,0.77,5,290,1587
hypergraphs_b06.hg,4.000,50,38,1.73,5,1082,7530
hypergraphs_bridge_15.hg,2.000,137,131,25.25,5,4951,144357
hypergraphs_bridge_25.hg,2.000,227,221,172.48,5,14366,706107
hypergraphs_bridge_50.hg,-1,452,446,TO,4,59341,5883482
hypergraphs_bridge_75.hg,-1,677,671,TO,3,134941,0
hypergraphs_bridge_99.hg,-1,893,887,TO,3,236329,0
hypergraphs_clique_15.hg,7.500,105,105,735.82,5,16368,2375101
hypergraphs_cnf-2-40-0100-730621.xml.hg,6.000,40,39,113.41,5,63249,715667
hypergraphs_cnf-2-40-0100-730622.xml.hg,6.000,40,38,29.55,5,18763,186518
hypergraphs_cnf-2-40-0100-730623.xml.hg,6.000,39,37,72.3,5,42305,443833
hypergraphs_cnf-2-40-0100-730624.xml.hg,6.000,40,38,44.31,5,27208,281702
hypergraphs_cnf-2-40-0100-730625.xml.hg,6.500,40,39,138.56,5,76719,843869
hypergraphs_cnf-2-40-0100-730626.xml.hg,6.000,39,34,18.55,5,11867,114035
hypergraphs_cnf-2-40-0100-730627.xml.hg,6.500,39,38,141.01,5,76916,848075
hypergraphs_cnf-2-40-0100-730628.xml.hg,6.000,40,39,115.54,5,62036,708058
hypergraphs_cnf-2-40-0100-730629.xml.hg,6.000,39,38,86.0,5,50941,533294
hypergraphs_cnf-2-40-0100-730630.xml.hg,7.000,40,39,183.38,5,91141,1087736
hypergraphs_cnf-2-80-0100-735541.xml.hg,5.000,76,49,845.31,5,285628,5920811
hypergraphs_cnf-2-80-0100-735542.xml.hg,5.000,72,56,3045.77,5,898258,20914788
hypergraphs_cnf-2-80-0100-735543.xml.hg,-1,70,53,TO,4,1667069,41219796
hypergraphs_cnf-2-80-0100-735544.xml.hg,5.000,74,56,1477.65,5,391591,9971493
hypergraphs_cnf-2-80-0100-735545.xml.hg,5.000,75,52,1736.99,5,552514,11835352
hypergraphs_cnf-2-80-0100-735546.xml.hg,5.000,75,52,2387.77,5,672841,16998100
hypergraphs_cnf-2-80-0100-735547.xml.hg,6.000,72,45,417.14,5,175051,2972893
hypergraphs_cnf-2-80-0100-735548.xml.hg,4.500,75,50,840.8,5,278721,5942424
hypergraphs_cnf-2-80-0100-735549.xml.hg,4.000,72,53,923.46,5,321444,6634102
hypergraphs_cnf-2-80-0100-735550.xml.hg,4.500,73,51,1410.1999999999998,5,440013,10096317
hypergraphs_cnf-3-40-0100-730621.xml.hg,8.389,40,40,116.35,5,40235,299974
hypergraphs_cnf-3-40-0100-730622.xml.hg,7.429,40,40,52.44,5,19558,143229
hypergraphs_cnf-3-40-0100-730623.xml.hg,8.333,40,40,109.86,5,36937,282176
hypergraphs_cnf-3-40-0100-730624.xml.hg,7.417,40,39,26.57,5,10860,73199
hypergraphs_cnf-3-40-0100-730625.xml.hg,8.300,40,40,77.84,5,28418,204021
hypergraphs_cnf-3-40-0100-730626.xml.hg,7.588,40,40,60.84,5,21344,155983
hypergraphs_cnf-3-40-0100-730627.xml.hg,8.154,40,40,76.37,5,26925,197057
hypergraphs_cnf-3-40-0100-730628.xml.hg,7.731,40,40,68.89,5,23828,186178
hypergraphs_cnf-3-40-0100-730629.xml.hg,8.043,40,40,53.3,5,19145,134197
hypergraphs_cnf-3-40-0100-730630.xml.hg,8.047,40,39,44.44,5,16503,114088
hypergraphs_cnf-3-80-0100-735541.xml.hg,-1,80,74,MO,2,536817111,0
hypergraphs_cnf-3-80-0100-735542.xml.hg,-1,79,71,TO,2,594402207,0
hypergraphs_cnf-3-80-0100-735543.xml.hg,-1,79,74,MO,2,650669123,0
hypergraphs_cnf-3-80-0100-735544.xml.hg,-1,76,67,TO,2,325466388,0
hypergraphs_cnf-3-80-0100-735545.xml.hg,-1,79,73,MO,2,650659507,0
hypergraphs_cnf-3-80-0100-735546.xml.hg,-1,79,72,MO,2,650678091,0
hypergraphs_cnf-3-80-0100-735547.xml.hg,-1,76,72,MO,2,536865955,0
hypergraphs_cnf-3-80-0100-735548.xml.hg,-1,80,70,TO,2,525466378,0
hypergraphs_cnf-3-80-0100-735549.xml.hg,-1,77,71,TO,2,586794934,0
hypergraphs_cnf-3-80-0100-735550.xml.hg,-1,79,71,TO,2,365485304,0
hypergraphs_cril-0_X2.xml.hg,4.000,86,68,17.34,5,5442,89853
hypergraphs_deep100-q01.hg,1.000,7,0,0.02,1,0,0
hypergraphs_deep100-q02.hg,1.000,7,0,0.03,1,0,0
hypergraphs_deep100-q03.hg,1.000,7,0,0.02,1,0,0
hypergraphs_deep100-q04.hg,1.000,7,0,0.04,1,0,0
hypergraphs_deep100-q05.hg,1.000,7,0,0.04,1,0,0
hypergraphs_deep100-q06.hg,1.000,10,0,0.02,1,0,0
hypergraphs_deep100-q07.hg,1.000,10,0,0.05,1,0,0
hypergraphs_deep100-q08.hg,1.000,10,0,0.03,1,0,0
hypergraphs_deep100-q09.hg,1.000,10,0,0.05,1,0,0
hypergraphs_deep100-q10.hg,1.000,10,0,0.03,1,0,0
hypergraphs_deep100-q11.hg,1.000,16,0,0.03,1,0,0
hypergraphs_deep100-q12.hg,1.000,16,0,0.06,1,0,0
hypergraphs_deep100-q13.hg,1.000,16,0,0.02,1,0,0
hypergraphs_deep100-q14.hg,1.000,16,0,0.04,1,0,0
hypergraphs_deep100-q15.hg,1.000,16,0,0.03,1,0,0
hypergraphs_deep100-q16.hg,1.000,25,0,0.02,1,0,0
hypergraphs_deep100-q17.hg,1.000,25,0,0.03,1,0,0
hypergraphs_deep100-q18.hg,1.000,25,0,0.05,1,0,0
hypergraphs_deep100-q19.hg,1.000,25,0,0.03,1,0,0
hypergraphs_deep100-q20.hg,1.000,25,0,0.02,1,0,0
hypergraphs_deep200-q01.hg,1.000,7,0,0.03,1,0,0
hypergraphs_deep200-q02.hg,1.000,7,0,0.01,1,0,0
hypergraphs_deep200-q03.hg,1.000,7,0,0.04,1,0,0
hypergraphs_deep200-q04.hg,1.000,7,0,0.03,1,0,0
hypergraphs_deep200-q05.hg,1.000,7,0,0.02,1,0,0
hypergraphs_deep200-q06.hg,1.000,10,0,0.04,1,0,0
hypergraphs_deep200-q07.hg,1.000,10,0,0.03,1,0,0
hypergraphs_deep200-q08.hg,1.000,10,0,0.01,1,0,0
hypergraphs_deep200-q09.hg,1.000,10,0,0.03,1,0,0
hypergraphs_deep200-q10.hg,1.000,10,0,0.02,1,0,0
hypergraphs_deep200-q11.hg,1.000,16,0,0.02,1,0,0
hypergraphs_deep200-q12.hg,1.000,16,0,0.02,1,0,0
hypergraphs_deep200-q13.hg,1.000,16,0,0.03,1,0,0
hypergraphs_deep200-q14.hg,1.000,16,0,0.02,1,0,0
hypergraphs_deep200-q15.hg,1.000,16,0,0.04,1,0,0
hypergraphs_deep200-q16.hg,1.000,25,0,0.04,1,0,0
hypergraphs_deep200-q17.hg,1.000,25,0,0.02,1,0,0
hypergraphs_deep200-q18.hg,1.000,25,0,0.03,1,0,0
hypergraphs_deep200-q19.hg,1.000,25,0,0.03,1,0,0
hypergraphs_deep200-q20.hg,1.000,25,0,0.02,1,0,0
hypergraphs_deep300-queries.hg,1.000,13,0,0.02,1,0,0
hypergraphs_doctors100k-q08.hg,1.000,12,0,0.02,1,0,0
hypergraphs_doctors100k-q09.hg,1.000,12,0,0.03,1,0,0
hypergraphs_doctors10k-q08.hg,1.000,12,0,0.03,1,0,0
hypergraphs_doctors10k-q09.hg,1.000,12,0,0.03,1,0,0
hypergraphs_doctors1m-q08.hg,1.000,12,0,0.04,1,0,0
hypergraphs_doctors1m-q09.hg,1.000,12,0,0.02,1,0,0
hypergraphs_doctors500k-q01.hg,1.000,12,0,0.02,1,0,0
hypergraphs_doctors500k-q02.hg,1.000,12,0,0.02,1,0,0
hypergraphs_doctors500k-q03.hg,1.000,12,0,0.03,1,0,0
hypergraphs_doctors500k-q04.hg,1.000,12,0,0.02,1,0,0
hypergraphs_doctors500k-q05.hg,1.000,12,0,0.01,1,0,0
hypergraphs_doctors500k-q07.hg,1.000,12,0,0.03,1,0,0
hypergraphs_doctors500k-q08.hg,1.000,12,0,0.03,1,0,0
hypergraphs_doctors500k-q09.hg,1.000,12,0,0.03,1,0,0
hypergraphs_Dubois-015.xml.hg,2.000,45,45,0.59,5,405,4060
hypergraphs_Dubois-016.xml.hg,2.000,48,48,0.68,5,464,4960
hypergraphs_Dubois-017.xml.hg,2.000,51,51,0.79,5,527,5984
hypergraphs_Dubois-018.xml.hg,2.000,54,54,0.99,5,594,7140
hypergraphs_Dubois-019.xml.hg,2.000,57,57,1.13,5,665,8436
hypergraphs_Dubois-020.xml.hg,2.000,60,60,1.31,5,740,9880
hypergraphs_Dubois-021.xml.hg,2.000,63,63,1.56,5,819,11480
hypergraphs_Dubois-022.xml.hg,2.000,66,66,1.8,5,902,13244
hypergraphs_Dubois-023.xml.hg,2.000,69,69,2.22,5,989,15180
hypergraphs_Dubois-024.xml.hg,2.000,72,72,2.43,5,1080,17296
hypergraphs_Dubois-025.xml.hg,2.000,75,75,2.64,5,1175,19600
hypergraphs_Dubois-026.xml.hg,2.000,78,78,3.12,5,1274,22100
hypergraphs_Dubois-027.xml.hg,2.000,81,81,3.46,5,1377,24804
hypergraphs_Dubois-028.xml.hg,2.000,84,84,3.98,5,1484,27720
hypergraphs_Dubois-029.xml.hg,2.000,87,87,4.56,5,1595,30856
hypergraphs_Dubois-030.xml.hg,2.000,90,90,4.84,5,1710,34220
hypergraphs_Dubois-035.xml.hg,2.000,105,105,8.53,5,2345,54740
hypergraphs_Dubois-040.xml.hg,2.000,120,120,13.07,5,3080,82160
hypergraphs_Dubois-045.xml.hg,2.000,135,135,21.03,5,3915,117480
hypergraphs_Dubois-050.xml.hg,2.000,150,150,29.44,5,4850,161700
hypergraphs_dubois20.hg,2.000,60,60,1.63,5,740,9880
hypergraphs_dubois21.hg,2.000,63,63,1.84,5,819,11480
hypergraphs_dubois23.hg,2.000,69,69,2.54,5,989,15180
hypergraphs_dubois25.hg,2.000,75,75,3.36,5,1175,19600
hypergraphs_dubois27.hg,2.000,81,81,4.46,5,1377,24804
hypergraphs_dubois28.hg,2.000,84,84,5.02,5,1484,27720
hypergraphs_dubois29.hg,2.000,87,87,5.68,5,1595,30856
hypergraphs_dubois30.hg,2.000,90,90,6.55,5,1710,34220
hypergraphs_flat30-1.hg,-1,90,87,MO,2,546025716,12
hypergraphs_flat30-99.hg,-1,90,90,MO,2,550562060,0
hypergraphs_grid2d_10.hg,4.000,50,50,88.64,5,29439,607323
hypergraphs_grid2d_15.hg,-1,113,113,TO,2,416077119,0
hypergraphs_grid2d_20.hg,-1,200,200,TO,2,409990493,0
hypergraphs_grid2d_25.hg,-1,313,313,TO,2,293689334,0
hypergraphs_grid2d_30.hg,-1,450,450,TO,2,132489286,0
hypergraphs_grid2d_35.hg,-1,613,613,TO,2,95163341,0
hypergraphs_grid2d_40.hg,-1,800,800,TO,2,59133279,0
hypergraphs_grid2d_45.hg,-1,1013,1013,TO,2,37661012,0
hypergraphs_grid2d_50.hg,-1,1250,1250,TO,2,28175806,0
hypergraphs_grid2d_60.hg,-1,1800,1800,TO,2,14555696,0
hypergraphs_grid2d_70.hg,-1,2450,2450,TO,2,8797772,0
hypergraphs_grid2d_75.hg,-1,2813,2813,TO,2,7160523,0
hypergraphs_grid3d_5.hg,-1,63,63,TO,3,6006638,0
hypergraphs_grid4d_3.hg,6.000,41,41,209.31,5,70148,615281
hypergraphs_grid5.hg,3.000,25,25,0.59,5,617,4785
hypergraphs_hole9.hg,-1,90,90,TO,4,260610,171808236
hypergraphs_job-10a.hg,1.000,36,0,0.03,1,0,0
hypergraphs_job-11a.hg,1.000,31,0,0.04,1,0,0
hypergraphs_job-12a.hg,1.000,33,0,0.02,1,0,0
hypergraphs_job-13a.hg,1.000,34,0,0.04,1,0,0
hypergraphs_job-14a.hg,1.500,27,0,0.04,1,0,0
hypergraphs_job-15a.hg,1.000,43,0,0.04,1,0,0
hypergraphs_job-16a.hg,1.000,47,0,0.03,1,0,0
hypergraphs_job-17a.hg,1.000,40,0,0.03,1,0,0
hypergraphs_job-18a.hg,1.000,36,0,0.03,1,0,0
hypergraphs_job-19a.hg,1.000,55,0,0.04,1,0,0
hypergraphs_job-1a.hg,1.000,22,0,0.02,1,0,0
hypergraphs_job-20a.hg,1.500,42,0,0.05,1,0,0
hypergraphs_job-21a.hg,1.000,35,0,0.06,1,0,0
hypergraphs_job-22a.hg,1.500,38,0,0.04,1,0,0
hypergraphs_job-23a.hg,1.500,37,0,0.04,1,0,0
hypergraphs_job-24a.hg,1.000,59,0,0.08,1,0,0
hypergraphs_job-25a.hg,1.000,40,0,0.02,1,0,0
hypergraphs_job-26a.hg,1.500,47,0,0.03,1,0,0
hypergraphs_job-27a.hg,1.000,40,0,0.06,1,0,0
hypergraphs_job-28a.hg,1.500,43,0,0.03,1,0,0
hypergraphs_job-29a.hg,2.000,69,4,0.07,5,2,4
hypergraphs_job-2a.hg,1.000,26,0,0.05,1,0,0
hypergraphs_job-30a.hg,1.000,45,0,0.05,1,0,0
hypergraphs_job-31a.hg,1.000,50,0,0.04,1,0,0
hypergraphs_job-32a.hg,1.000,31,0,0.05,1,0,0
hypergraphs_job-33a.hg,1.000,59,0,0.02,1,0,0
hypergraphs_job-3a.hg,1.000,20,0,0.03,1,0,0
hypergraphs_job-4a.hg,1.000,21,0,0.03,1,0,0
hypergraphs_job-5a.hg,1.000,22,0,0.03,1,0,0
hypergraphs_job-6a.hg,1.000,30,0,0.05,1,0,0
hypergraphs_job-7a.hg,1.000,42,0,0.04,1,0,0
hypergraphs_job-8a.hg,1.000,44,0,0.02,1,0,0
hypergraphs_job-9a.hg,1.000,50,0,0.03,1,0,0
hypergraphs_Kakuro-easy-000-ext.xml.hg,3.000,18,18,0.17,5,162,904
hypergraphs_Kakuro-easy-001-ext.xml.hg,3.000,36,36,0.43,5,338,3068
hypergraphs_Kakuro-easy-002-ext.xml.hg,2.000,71,12,0.16,5,129,404
hypergraphs_Kakuro-easy-003-ext.xml.hg,3.000,73,15,0.26,5,251,1096
hypergraphs_Kakuro-easy-004-ext.xml.hg,3.000,76,64,67.66,5,14978,510704
hypergraphs_Kakuro-easy-005-ext.xml.hg,4.000,72,64,1800.92,5,334710,13751352
hypergraphs_Kakuro-easy-006-ext.xml.hg,4.000,80,68,73.77,5,15582,601136
hypergraphs_Kakuro-easy-007-ext.xml.hg,3.000,86,86,974.48,5,124412,7200671
hypergraphs_Kakuro-easy-008-ext.xml.hg,4.000,79,65,75.18,5,18270,570524
hypergraphs_Kakuro-easy-009-ext.xml.hg,3.000,78,70,139.58,5,30606,1126020
hypergraphs_Kakuro-easy-010-ext.xml.hg,3.000,83,67,107.49,5,26814,823907
hypergraphs_Kakuro-easy-011-ext.xml.hg,4.000,80,60,533.5799999999999,5,107762,3963994
hypergraphs_Kakuro-easy-012-ext.xml.hg,3.000,81,81,575.21,5,88684,4444331
hypergraphs_Kakuro-easy-013-ext.xml.hg,3.000,87,87,980.11,5,121772,6842619
hypergraphs_Kakuro-easy-014-ext.xml.hg,3.000,74,74,305.22,5,42240,2329520
hypergraphs_Kakuro-easy-015-ext.xml.hg,4.000,82,82,2076.97,5,253756,15196240
hypergraphs_Kakuro-easy-016-ext.xml.hg,3.000,86,86,314.17,5,41676,2402704
hypergraphs_Kakuro-easy-017-ext.xml.hg,3.000,89,89,2075.07,5,223532,14814699
hypergraphs_Kakuro-easy-018-ext.xml.hg,3.000,82,82,6.88,5,2358,54080
hypergraphs_Kakuro-easy-019-ext.xml.hg,4.000,86,78,1949.72,5,274470,13291652
hypergraphs_Kakuro-easy-020-ext.xml.hg,4.000,81,73,818.87,5,110603,5568424
hypergraphs_Kakuro-easy-021-ext.xml.hg,-1,86,86,TO,4,579876,26232192
hypergraphs_Kakuro-easy-022-ext.xml.hg,3.000,84,84,951.04,5,92294,6612048
hypergraphs_Kakuro-easy-023-ext.xml.hg,4.000,81,55,12.57,5,4941,108232
hypergraphs_Kakuro-easy-024-ext.xml.hg,3.000,84,56,16.86,5,5952,140956
hypergraphs_Kakuro-easy-025-ext.xml.hg,4.000,83,75,3555.22,5,488783,23079748
hypergraphs_Kakuro-easy-026-ext.xml.hg,-1,80,80,TO,4,725362,51179544
hypergraphs_Kakuro-easy-027-ext.xml.hg,4.000,88,50,39.56,5,11752,316700
hypergraphs_Kakuro-easy-028-ext.xml.hg,-1,88,72,TO,4,3966984,189374704
hypergraphs_Kakuro-easy-029-ext.xml.hg,3.000,80,58,50.98,5,16692,424884
hypergraphs_Kakuro-easy-030-ext.xml.hg,4.000,81,73,204.47,5,33159,1496672
hypergraphs_Kakuro-easy-031-ext.xml.hg,4.000,76,76,254.56,5,31566,1948556
hypergraphs_Kakuro-easy-032-ext.xml.hg,3.000,85,85,552.55,5,80684,4408547
hypergraphs_Kakuro-easy-033-ext.xml.hg,4.000,80,80,1607.79,5,212534,11341104
hypergraphs_Kakuro-easy-034-ext.xml.hg,3.000,88,64,98.51,5,20916,811872
hypergraphs_Kakuro-easy-035-ext.xml.hg,3.000,83,71,520.48,5,98276,3838335
hypergraphs_Kakuro-easy-036-ext.xml.hg,3.000,82,82,28.0,5,6112,205552
hypergraphs_Kakuro-easy-037-ext.xml.hg,-1,86,86,TO,4,1261084,94100512
hypergraphs_Kakuro-easy-038-ext.xml.hg,-1,90,70,TO,4,3465348,129885348
hypergraphs_Kakuro-easy-039-ext.xml.hg,-1,89,89,TO,3,13234055,0
hypergraphs_Kakuro-easy-040-ext.xml.hg,4.000,86,60,231.48,5,55330,1840740
hypergraphs_Kakuro-easy-041-ext.xml.hg,-1,84,84,TO,3,7891630,0
hypergraphs_Kakuro-easy-042-ext.xml.hg,4.000,84,84,1352.04,5,186846,9658200
hypergraphs_Kakuro-easy-043-ext.xml.hg,-1,83,83,TO,4,550289,26780284
hypergraphs_Kakuro-easy-044-ext.xml.hg,4.000,82,66,766.96,5,126154,5557492
hypergraphs_Kakuro-easy-045-ext.xml.hg,-1,84,84,TO,3,42850674,0
hypergraphs_Kakuro-easy-046-ext.xml.hg,4.000,82,82,1830.58,5,219266,13329004
hypergraphs_Kakuro-easy-047-ext.xml.hg,-1,86,86,TO,4,1559238,91726212
hypergraphs_Kakuro-easy-048-ext.xml.hg,4.000,84,84,605.22,5,78767,4499324
hypergraphs_Kakuro-easy-049-ext.xml.hg,-1,108,94,MO,3,14656412,40
hypergraphs_Kakuro-easy-050-ext.xml.hg,-1,110,110,TO,4,389628,61820730
hypergraphs_Kakuro-easy-051-ext.xml.hg,-1,105,105,TO,2,393202863,0
hypergraphs_Kakuro-easy-052-ext.xml.hg,-1,103,103,TO,3,24281583,0
hypergraphs_Kakuro-easy-053-ext.xml.hg,-1,106,106,TO,3,17103485,0
hypergraphs_Kakuro-easy-054-ext.xml.hg,4.000,104,104,3216.75,5,305396,21970244
hypergraphs_Kakuro-easy-055-ext.xml.hg,-1,103,95,TO,3,45047600,8
hypergraphs_Kakuro-easy-056-ext.xml.hg,3.000,100,100,2439.99,5,202492,16416524
hypergraphs_Kakuro-easy-057-ext.xml.hg,-1,99,81,TO,4,1316573,106519208
hypergraphs_Kakuro-easy-058-ext.xml.hg,3.000,121,21,0.57,5,643,3644
hypergraphs_Kakuro-easy-059-ext.xml.hg,3.000,122,86,1596.78,5,123980,10959272
hypergraphs_Kakuro-easy-060-ext.xml.hg,-1,120,92,TO,4,1370060,115580376
hypergraphs_Kakuro-easy-061-ext.xml.hg,-1,148,148,TO,4,284772,32311488
hypergraphs_Kakuro-easy-062-ext.xml.hg,-1,144,108,TO,4,545800,37736116
hypergraphs_Kakuro-easy-064-ext.xml.hg,-1,150,106,TO,4,456052,41953720
hypergraphs_Kakuro-easy-065-ext.xml.hg,-1,144,144,TO,3,2074420,0
hypergraphs_Kakuro-easy-068-ext.xml.hg,-1,148,108,TO,4,554556,51498144
hypergraphs_Kakuro-easy-069-ext.xml.hg,-1,148,124,TO,2,235983191,48
hypergraphs_Kakuro-easy-070-ext.xml.hg,3.000,155,34,11.45,5,6475,86176
hypergraphs_Kakuro-easy-071-ext.xml.hg,-1,152,100,TO,4,2625758,239954148
hypergraphs_Kakuro-easy-072-ext.xml.hg,-1,152,88,TO,4,545654,35515340
hypergraphs_Kakuro-easy-073-ext.xml.hg,-1,148,148,MO,3,8884708,0
hypergraphs_Kakuro-easy-074-ext.xml.hg,-1,150,126,TO,3,9730716,48
hypergraphs_Kakuro-easy-075-ext.xml.hg,3.000,148,148,3066.27,5,158684,19381424
hypergraphs_Kakuro-easy-076-ext.xml.hg,3.000,142,110,2179.04,5,269864,14443684
hypergraphs_Kakuro-easy-083-ext.xml.hg,-1,153,145,TO,2,256872709,8
hypergraphs_Kakuro-easy-084-ext.xml.hg,-1,156,104,TO,3,55075279,4328
hypergraphs_Kakuro-easy-086-ext.xml.hg,-1,150,150,TO,4,1406950,219601532
