instance,tw,triang_fhtw,frasmt_fhtw
hypergraphs_cnf-3-80-0100-735544.xml.hg,-1,TO,TO
hypergraphs_cnf-3-80-0100-735545.xml.hg,-1,MO,TO
hypergraphs_cnf-3-80-0100-735546.xml.hg,-1,MO,TO
hypergraphs_cnf-3-80-0100-735547.xml.hg,-1,MO,TO
hypergraphs_cnf-3-80-0100-735548.xml.hg,-1,TO,TO
hypergraphs_cnf-3-80-0100-735549.xml.hg,-1,TO,TO
hypergraphs_cnf-3-80-0100-735550.xml.hg,-1,TO,TO
hypergraphs_cril-0_X2.xml.hg,4.000,17.34,767.78
hypergraphs_deep100-q01.hg,1.000,0.02,3.21
hypergraphs_deep100-q02.hg,1.000,0.03,0.65
hypergraphs_deep100-q03.hg,1.000,0.02,0.66
hypergraphs_deep100-q04.hg,1.000,0.04,0.65
hypergraphs_deep100-q05.hg,1.000,0.04,2.47
hypergraphs_deep100-q06.hg,1.000,0.02,2.46
hypergraphs_deep100-q07.hg,1.000,0.05,0.68
hypergraphs_deep100-q08.hg,1.000,0.03,0.68
hypergraphs_deep100-q09.hg,1.000,0.05,2.34
hypergraphs_deep100-q10.hg,1.000,0.03,2.32
hypergraphs_deep100-q11.hg,1.000,0.03,1.65
hypergraphs_deep100-q12.hg,1.000,0.06,1.6
hypergraphs_deep100-q13.hg,1.000,0.02,1.53
hypergraphs_deep100-q14.hg,1.000,0.04,1.5
hypergraphs_deep100-q15.hg,1.000,0.03,2.38
hypergraphs_deep100-q16.hg,1.000,0.02,2.44
hypergraphs_deep100-q17.hg,1.000,0.03,2.66
hypergraphs_deep100-q18.hg,1.000,0.05,2.66
hypergraphs_deep100-q19.hg,1.000,0.03,2.28
hypergraphs_deep100-q20.hg,1.000,0.02,2.29
hypergraphs_deep200-q01.hg,1.000,0.03,0.66
hypergraphs_deep200-q02.hg,1.000,0.01,0.65
hypergraphs_deep200-q03.hg,1.000,0.04,2.25
hypergraphs_deep200-q04.hg,1.000,0.03,2.26
hypergraphs_deep200-q05.hg,1.000,0.02,3.03
hypergraphs_deep200-q06.hg,1.000,0.04,0.68
hypergraphs_deep200-q07.hg,1.000,0.03,0.68
hypergraphs_deep200-q08.hg,1.000,0.01,0.66
hypergraphs_deep200-q09.hg,1.000,0.03,0.66
hypergraphs_deep200-q10.hg,1.000,0.02,0.7
hypergraphs_deep200-q11.hg,1.000,0.02,0.75
hypergraphs_deep200-q12.hg,1.000,0.02,2.45
hypergraphs_deep200-q13.hg,1.000,0.03,2.44
hypergraphs_deep200-q14.hg,1.000,0.02,2.95
hypergraphs_deep200-q15.hg,1.000,0.04,1.19
hypergraphs_deep200-q16.hg,1.000,0.04,1.2
hypergraphs_deep200-q17.hg,1.000,0.02,0.9
hypergraphs_deep200-q18.hg,1.000,0.03,0.82
hypergraphs_deep200-q19.hg,1.000,0.03,0.81
hypergraphs_deep200-q20.hg,1.000,0.02,2.81
hypergraphs_deep300-queries.hg,1.000,0.02,2.4
hypergraphs_doctors100k-q08.hg,1.000,0.02,2.4
hypergraphs_doctors100k-q09.hg,1.000,0.03,0.68
hypergraphs_doctors10k-q08.hg,1.000,0.03,0.67
hypergraphs_doctors10k-q09.hg,1.000,0.03,0.68
hypergraphs_doctors1m-q08.hg,1.000,0.04,0.78
hypergraphs_doctors1m-q09.hg,1.000,0.02,0.69
hypergraphs_doctors500k-q01.hg,1.000,0.02,0.68
hypergraphs_doctors500k-q02.hg,1.000,0.02,2.99
hypergraphs_doctors500k-q03.hg,1.000,0.03,2.57
hypergraphs_doctors500k-q04.hg,1.000,0.02,2.54
hypergraphs_doctors500k-q05.hg,1.000,0.01,0.75
hypergraphs_doctors500k-q07.hg,1.000,0.03,0.67
hypergraphs_doctors500k-q08.hg,1.000,0.03,0.68
hypergraphs_doctors500k-q09.hg,1.000,0.03,0.79
hypergraphs_Dubois-015.xml.hg,2.000,0.59,207.54
hypergraphs_Dubois-016.xml.hg,2.000,0.68,238.97
hypergraphs_Dubois-017.xml.hg,2.000,0.79,308.93
hypergraphs_Dubois-018.xml.hg,2.000,0.99,366.97
hypergraphs_Dubois-019.xml.hg,2.000,1.13,434.1
hypergraphs_Dubois-020.xml.hg,2.000,1.31,478.56
hypergraphs_Dubois-021.xml.hg,2.000,1.56,583.76
hypergraphs_Dubois-022.xml.hg,2.000,1.8,674.55
hypergraphs_Dubois-023.xml.hg,2.000,2.22,764.76
hypergraphs_Dubois-024.xml.hg,2.000,2.43,901.38
hypergraphs_Dubois-025.xml.hg,2.000,2.64,945.75
hypergraphs_Dubois-026.xml.hg,2.000,3.12,1064.09
hypergraphs_Dubois-027.xml.hg,2.000,3.46,1235.66
hypergraphs_Dubois-028.xml.hg,2.000,3.98,1414.54
hypergraphs_Dubois-029.xml.hg,2.000,4.56,1573.98
hypergraphs_Dubois-030.xml.hg,2.000,4.84,1770.74
hypergraphs_Dubois-035.xml.hg,2.000,8.53,2722.17
hypergraphs_Dubois-040.xml.hg,2.000,13.07,TO
hypergraphs_Dubois-045.xml.hg,2.000,21.03,TO
hypergraphs_Dubois-050.xml.hg,2.000,29.44,TO
hypergraphs_dubois20.hg,2.000,1.63,482.9
hypergraphs_dubois21.hg,2.000,1.84,586.69
hypergraphs_dubois23.hg,2.000,2.54,805.04
hypergraphs_dubois25.hg,2.000,3.36,1033.37
hypergraphs_dubois27.hg,2.000,4.46,1267.56
hypergraphs_dubois28.hg,2.000,5.02,1393.5
hypergraphs_dubois29.hg,2.000,5.68,1490.36
hypergraphs_dubois30.hg,2.000,6.55,3441.27
hypergraphs_flat30-1.hg,-1,MO,TO
hypergraphs_flat30-99.hg,-1,MO,TO
hypergraphs_grid2d_10.hg,4.000,88.64,330.65
hypergraphs_grid2d_15.hg,-1,TO,TO
hypergraphs_grid2d_20.hg,-1,TO,TO
hypergraphs_grid2d_25.hg,-1,TO,TO
hypergraphs_grid2d_30.hg,-1,TO,TO
hypergraphs_grid2d_35.hg,-1,TO,TO
hypergraphs_grid2d_40.hg,-1,TO,TO
hypergraphs_grid2d_45.hg,-1,TO,TO
hypergraphs_grid2d_50.hg,-1,TO,TO
hypergraphs_grid2d_60.hg,-1,TO,TO
hypergraphs_grid2d_70.hg,-1,TO,TO
hypergraphs_grid2d_75.hg,-1,TO,TO
hypergraphs_grid3d_5.hg,-1,TO,TO
hypergraphs_grid4d_3.hg,6.000,209.31,487.64
hypergraphs_grid5.hg,3.000,0.59,41.4
hypergraphs_hole9.hg,-1,TO,TO
hypergraphs_job-10a.hg,1.000,0.03,3.51
hypergraphs_job-11a.hg,1.000,0.04,0.88
hypergraphs_job-12a.hg,1.000,0.02,0.89
hypergraphs_job-13a.hg,1.000,0.04,0.89
hypergraphs_job-14a.hg,1.500,0.04,2.67
hypergraphs_job-15a.hg,1.000,0.04,2.79
hypergraphs_job-16a.hg,1.000,0.03,1.05
hypergraphs_job-17a.hg,1.000,0.03,0.94
hypergraphs_job-18a.hg,1.000,0.03,0.89
hypergraphs_job-19a.hg,1.000,0.04,1.13
hypergraphs_job-1a.hg,1.000,0.02,2.44
hypergraphs_job-20a.hg,1.500,0.05,2.65
hypergraphs_job-21a.hg,1.000,0.06,0.88
hypergraphs_job-22a.hg,1.500,0.04,0.96
hypergraphs_job-23a.hg,1.500,0.04,0.96
hypergraphs_job-24a.hg,1.000,0.08,1.22
hypergraphs_job-25a.hg,1.000,0.02,2.94
hypergraphs_job-26a.hg,1.500,0.03,2.98
hypergraphs_job-27a.hg,1.000,0.06,0.97
hypergraphs_job-28a.hg,1.500,0.03,1.08
hypergraphs_job-29a.hg,2.000,0.07,1.66
hypergraphs_job-2a.hg,1.000,0.05,0.8
hypergraphs_job-30a.hg,1.000,0.05,1.03
hypergraphs_job-31a.hg,1.000,0.04,1.1
hypergraphs_job-32a.hg,1.000,0.05,2.36
hypergraphs_job-33a.hg,1.000,0.02,2.71
hypergraphs_job-3a.hg,1.000,0.03,2.64
hypergraphs_job-4a.hg,1.000,0.03,2.63
hypergraphs_job-5a.hg,1.000,0.03,2.6
hypergraphs_job-6a.hg,1.000,0.05,2.69
hypergraphs_job-7a.hg,1.000,0.04,2.82
hypergraphs_job-8a.hg,1.000,0.02,3.73
hypergraphs_job-9a.hg,1.000,0.03,3.86
hypergraphs_Kakuro-easy-000-ext.xml.hg,3.000,0.17,15.92
hypergraphs_Kakuro-easy-001-ext.xml.hg,3.000,0.43,102.51
hypergraphs_Kakuro-easy-002-ext.xml.hg,2.000,0.16,341.8
hypergraphs_Kakuro-easy-003-ext.xml.hg,3.000,0.26,474.01
hypergraphs_Kakuro-easy-004-ext.xml.hg,3.000,67.66,1643.22
hypergraphs_Kakuro-easy-005-ext.xml.hg,4.000,1800.92,909.8
hypergraphs_Kakuro-easy-006-ext.xml.hg,4.000,73.77,1120.02
hypergraphs_Kakuro-easy-007-ext.xml.hg,3.000,974.48,TO
hypergraphs_Kakuro-easy-008-ext.xml.hg,4.000,75.18,1153.3
hypergraphs_Kakuro-easy-009-ext.xml.hg,3.000,139.58,1326.73
hypergraphs_Kakuro-easy-010-ext.xml.hg,3.000,107.49,1298.66
hypergraphs_Kakuro-easy-011-ext.xml.hg,4.000,533.5799999999999,1323.18
hypergraphs_Kakuro-easy-012-ext.xml.hg,3.000,575.21,1753.35
hypergraphs_Kakuro-easy-013-ext.xml.hg,3.000,980.11,TO
hypergraphs_Kakuro-easy-014-ext.xml.hg,3.000,305.22,950.83
hypergraphs_Kakuro-easy-015-ext.xml.hg,4.000,2076.97,TO
hypergraphs_Kakuro-easy-016-ext.xml.hg,3.000,314.17,1896.57
hypergraphs_Kakuro-easy-017-ext.xml.hg,3.000,2075.07,3474.14
hypergraphs_Kakuro-easy-018-ext.xml.hg,3.000,6.88,1442.02
hypergraphs_Kakuro-easy-019-ext.xml.hg,4.000,1949.72,TO
hypergraphs_Kakuro-easy-020-ext.xml.hg,4.000,818.87,2716.58
hypergraphs_Kakuro-easy-021-ext.xml.hg,3.000,TO,1730.55
hypergraphs_Kakuro-easy-022-ext.xml.hg,3.000,951.04,TO
hypergraphs_Kakuro-easy-023-ext.xml.hg,4.000,12.57,1329.41
hypergraphs_Kakuro-easy-024-ext.xml.hg,3.000,16.86,1449.03
hypergraphs_Kakuro-easy-025-ext.xml.hg,4.000,3555.22,1993.32
hypergraphs_Kakuro-easy-026-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-027-ext.xml.hg,4.000,39.56,1575.4
hypergraphs_Kakuro-easy-028-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-029-ext.xml.hg,3.000,50.98,1166.91
hypergraphs_Kakuro-easy-030-ext.xml.hg,4.000,204.47,1588.35
hypergraphs_Kakuro-easy-031-ext.xml.hg,4.000,254.56,1969.55
hypergraphs_Kakuro-easy-032-ext.xml.hg,3.000,552.55,1541.72
hypergraphs_Kakuro-easy-033-ext.xml.hg,4.000,1607.79,2179.41
hypergraphs_Kakuro-easy-034-ext.xml.hg,3.000,98.51,1998.57
hypergraphs_Kakuro-easy-035-ext.xml.hg,3.000,520.48,2020.19
hypergraphs_Kakuro-easy-036-ext.xml.hg,3.000,28.0,1287.44
hypergraphs_Kakuro-easy-037-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-038-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-039-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-040-ext.xml.hg,4.000,231.48,2147.0
hypergraphs_Kakuro-easy-041-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-042-ext.xml.hg,4.000,1352.04,3182.67
hypergraphs_Kakuro-easy-043-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-044-ext.xml.hg,4.000,766.96,2292.22
hypergraphs_Kakuro-easy-045-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-046-ext.xml.hg,4.000,1830.58,2634.31
hypergraphs_Kakuro-easy-047-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-048-ext.xml.hg,4.000,605.22,3284.03
hypergraphs_Kakuro-easy-049-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-050-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-051-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-052-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-053-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-054-ext.xml.hg,4.000,3216.75,TO
hypergraphs_Kakuro-easy-055-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-056-ext.xml.hg,3.000,2439.99,TO
hypergraphs_Kakuro-easy-057-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-058-ext.xml.hg,3.000,0.57,111.55
hypergraphs_Kakuro-easy-059-ext.xml.hg,3.000,1596.78,TO
hypergraphs_Kakuro-easy-060-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-061-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-062-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-064-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-065-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-068-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-069-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-070-ext.xml.hg,3.000,11.45,TO
hypergraphs_Kakuro-easy-071-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-072-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-073-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-074-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-075-ext.xml.hg,3.000,3066.27,TO
hypergraphs_Kakuro-easy-076-ext.xml.hg,3.000,2179.04,TO
hypergraphs_Kakuro-easy-083-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-084-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-086-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-087-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-088-ext.xml.hg,3.000,TO,668.08
hypergraphs_Kakuro-easy-089-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-091-ext.xml.hg,3.000,1.37,825.38
hypergraphs_Kakuro-easy-093-ext.xml.hg,3.000,37.22,TO
hypergraphs_Kakuro-easy-094-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-096-ext.xml.hg,3.000,800.31,840.35
hypergraphs_Kakuro-easy-097-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-098-ext.xml.hg,3.000,163.8,TO
hypergraphs_Kakuro-easy-099-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-103-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-104-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-106-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-109-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-112-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-113-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-114-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-115-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-117-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-118-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-120-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-121-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-122-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-123-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-124-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-125-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-126-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-127-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-128-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-129-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-130-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-131-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-132-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-133-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-134-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-135-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-136-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-138-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-139-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-142-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-146-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-148-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-149-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-150-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-151-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-152-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-153-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-154-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-155-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-156-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-157-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-161-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-162-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-163-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-easy-164-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-easy-165-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-000-ext.xml.hg,3.000,0.18,16.08
hypergraphs_Kakuro-hard-001-ext.xml.hg,3.000,0.45,104.15
hypergraphs_Kakuro-hard-002-ext.xml.hg,2.000,0.18,329.34
hypergraphs_Kakuro-hard-003-ext.xml.hg,3.000,0.24,485.15
hypergraphs_Kakuro-hard-004-ext.xml.hg,3.000,65.19,1648.46
hypergraphs_Kakuro-hard-005-ext.xml.hg,4.000,1851.79,1072.1
hypergraphs_Kakuro-hard-006-ext.xml.hg,4.000,74.66,1489.87
hypergraphs_Kakuro-hard-007-ext.xml.hg,3.000,941.12,TO
hypergraphs_Kakuro-hard-008-ext.xml.hg,4.000,75.36,1241.21
hypergraphs_Kakuro-hard-009-ext.xml.hg,3.000,146.79000000000002,1832.07
hypergraphs_Kakuro-hard-010-ext.xml.hg,3.000,99.71,1470.54
hypergraphs_Kakuro-hard-011-ext.xml.hg,4.000,529.53,1215.48
hypergraphs_Kakuro-hard-012-ext.xml.hg,3.000,597.8000000000001,1317.79
hypergraphs_Kakuro-hard-013-ext.xml.hg,3.000,935.75,TO
hypergraphs_Kakuro-hard-014-ext.xml.hg,3.000,303.36,950.04
hypergraphs_Kakuro-hard-015-ext.xml.hg,4.000,2138.98,1939.96
hypergraphs_Kakuro-hard-016-ext.xml.hg,3.000,323.28999999999996,3507.73
