instance,tw,info_ghtw_n,info_ghtw_kn,triang_ghtw,info_ghtw_phase,info_ghtw_minseps,info_ghtw_pmcs
hypergraphs_61.dtl,2,6,0,0.02,1,0,0
hypergraphs_62.dtl,2,6,0,0.03,1,0,0
hypergraphs_63.dtl,2,6,0,0.02,1,0,0
hypergraphs_64.dtl,2,4,0,0.02,1,0,0
hypergraphs_65.dtl,2,5,0,0.02,1,0,0
hypergraphs_66.dtl,2,4,0,0.01,1,0,0
hypergraphs_67.dtl,2,5,0,0.02,1,0,0
hypergraphs_68.dtl,2,3,0,0.02,1,0,0
hypergraphs_69.dtl,2,6,0,0.02,1,0,0
hypergraphs_6.dtl,2,7,0,0.02,1,0,0
hypergraphs_70.dtl,2,6,0,0.03,1,0,0
hypergraphs_7.dtl,2,9,0,0.04,1,0,0
hypergraphs_8.dtl,2,7,0,0.03,1,0,0
hypergraphs_9.dtl,2,9,0,0.03,1,0,0
hypergraphs_adder_15.hg,2,106,0,0.19,1,0,0
hypergraphs_adder_25.hg,2,176,0,0.28,1,0,0
hypergraphs_adder_50.hg,2,351,0,0.59,1,0,0
hypergraphs_adder_75.hg,2,526,0,1.02,1,0,0
hypergraphs_adder_99.hg,2,694,0,1.54,1,0,0
hypergraphs_aim-50-1_6-no-3.hg,-1,50,50,TO,4,4043198,11304594
hypergraphs_aim-50-1-6-sat-1.xml.hg,-1,50,50,TO,4,3784364,38056956
hypergraphs_aim-50-1-6-sat-2.xml.hg,8,50,50,1785.87,5,3947973,1408443
hypergraphs_aim-50-1-6-sat-3.xml.hg,-1,50,50,TO,4,4810839,36836454
hypergraphs_aim-50-1-6-sat-4.xml.hg,-1,50,50,TO,4,5855904,12289547
hypergraphs_aim-50-1-6-unsat-1.xml.hg,7,50,50,1112.45,5,2243911,1061904
hypergraphs_aim-50-1-6-unsat-2.xml.hg,-1,50,50,TO,4,3748325,32307038
hypergraphs_aim-50-1-6-unsat-3.xml.hg,-1,50,50,TO,4,4043198,14378390
hypergraphs_aim-50-1-6-unsat-4.xml.hg,-1,50,50,TO,4,4477013,44059801
hypergraphs_aim-50-2_0-no-3.hg,-1,50,50,TO,4,5089331,62826092
hypergraphs_aim-50-2-0-sat-1.xml.hg,-1,50,50,TO,4,3938565,53033086
hypergraphs_aim-50-2-0-sat-2.xml.hg,-1,50,50,TO,4,4580548,65476749
hypergraphs_aim-50-2-0-sat-3.xml.hg,-1,50,50,TO,4,3291848,44198205
hypergraphs_aim-50-2-0-sat-4.xml.hg,-1,50,50,TO,4,5232716,71346416
hypergraphs_aim-50-2-0-unsat-1.xml.hg,-1,50,50,TO,4,3505035,41941376
hypergraphs_aim-50-2-0-unsat-2.xml.hg,-1,50,50,TO,4,4148673,50798029
hypergraphs_aim-50-2-0-unsat-3.xml.hg,-1,50,50,TO,4,5089331,62590215
hypergraphs_aim-50-2-0-unsat-4.xml.hg,-1,50,50,TO,4,3466714,36984531
hypergraphs_aim-50-2_0-yes1-3.hg,-1,50,50,TO,4,3291848,41704098
hypergraphs_aim-50-3_4-yes1-3.hg,-1,50,50,TO,4,614316,5328980
hypergraphs_atv_partial_system.hg,3,125,59,3.77,5,3475,8548
hypergraphs_b02.hg,3,27,25,0.18,5,290,59
hypergraphs_b06.hg,4,50,38,1.63,5,1082,2131
hypergraphs_bridge_15.hg,2,137,131,3.12,5,4951,5313
hypergraphs_bridge_25.hg,2,227,221,5.85,5,14366,2048
hypergraphs_bridge_50.hg,2,452,446,97.22,5,59341,4484
hypergraphs_bridge_75.hg,2,677,671,721.09,5,134941,27501
hypergraphs_bridge_99.hg,2,893,887,2946.33,5,236329,36525
hypergraphs_clique_15.hg,8,105,105,2976.63,5,16368,2375101
hypergraphs_cnf-2-40-0100-730621.xml.hg,6,40,39,21.27,5,63249,39414
hypergraphs_cnf-2-40-0100-730622.xml.hg,6,40,38,33.88,5,18763,50829
hypergraphs_cnf-2-40-0100-730623.xml.hg,6,39,37,20.07,5,42305,31771
hypergraphs_cnf-2-40-0100-730624.xml.hg,6,40,38,36.49,5,27208,64188
hypergraphs_cnf-2-40-0100-730625.xml.hg,7,40,39,73.05,5,76719,130235
hypergraphs_cnf-2-40-0100-730626.xml.hg,6,39,34,26.48,5,11867,30329
hypergraphs_cnf-2-40-0100-730627.xml.hg,7,39,38,59.75,5,76916,95412
hypergraphs_cnf-2-40-0100-730628.xml.hg,6,40,39,57.84,5,62036,108051
hypergraphs_cnf-2-40-0100-730629.xml.hg,6,39,38,11.37,5,50941,16744
hypergraphs_cnf-2-40-0100-730630.xml.hg,7,40,39,86.96,5,91141,166592
hypergraphs_cnf-2-80-0100-735541.xml.hg,5,76,49,69.23,5,285617,182273
hypergraphs_cnf-2-80-0100-735542.xml.hg,5,72,56,29.5,5,898258,37760
hypergraphs_cnf-2-80-0100-735543.xml.hg,6,70,53,603.3,5,1667069,1386671
hypergraphs_cnf-2-80-0100-735544.xml.hg,5,74,56,8.66,5,391591,8103
hypergraphs_cnf-2-80-0100-735545.xml.hg,5,75,52,10.23,5,552514,4400
hypergraphs_cnf-2-80-0100-735546.xml.hg,5,75,52,42.3,5,672841,85767
hypergraphs_cnf-2-80-0100-735547.xml.hg,6,72,45,73.03,5,175051,215344
hypergraphs_cnf-2-80-0100-735548.xml.hg,5,75,50,7.67,5,278721,8875
hypergraphs_cnf-2-80-0100-735549.xml.hg,4,72,53,7.75,5,321444,6548
hypergraphs_cnf-2-80-0100-735550.xml.hg,5,73,51,10.56,5,440013,12087
hypergraphs_cnf-3-40-0100-730621.xml.hg,9,40,40,350.31,5,40235,299905
hypergraphs_cnf-3-40-0100-730622.xml.hg,8,40,40,161.62,5,19558,139233
hypergraphs_cnf-3-40-0100-730623.xml.hg,9,40,40,312.28,5,36937,278941
hypergraphs_cnf-3-40-0100-730624.xml.hg,8,40,39,82.58,5,10860,72565
hypergraphs_cnf-3-40-0100-730625.xml.hg,9,40,40,222.02,5,28418,195710
hypergraphs_cnf-3-40-0100-730626.xml.hg,8,40,40,181.88,5,21344,155847
hypergraphs_cnf-3-40-0100-730627.xml.hg,9,40,40,292.55,5,26925,197057
hypergraphs_cnf-3-40-0100-730628.xml.hg,8,40,40,206.95,5,23828,171237
hypergraphs_cnf-3-40-0100-730629.xml.hg,9,40,40,152.28,5,19145,134068
hypergraphs_cnf-3-40-0100-730630.xml.hg,9,40,39,132.57,5,16503,111043
hypergraphs_cnf-3-80-0100-735541.xml.hg,-1,80,74,MO,2,650662944,0
hypergraphs_cnf-3-80-0100-735542.xml.hg,-1,79,71,MO,2,536856527,0
hypergraphs_cnf-3-80-0100-735543.xml.hg,-1,79,74,MO,2,650669123,0
hypergraphs_cnf-3-80-0100-735544.xml.hg,-1,76,67,TO,2,337675532,0
hypergraphs_cnf-3-80-0100-735545.xml.hg,-1,79,73,MO,2,650659507,0
hypergraphs_cnf-3-80-0100-735546.xml.hg,-1,79,72,MO,2,650678091,0
hypergraphs_cnf-3-80-0100-735547.xml.hg,-1,76,72,MO,2,650676565,0
hypergraphs_cnf-3-80-0100-735548.xml.hg,-1,80,70,TO,2,531598641,0
hypergraphs_cnf-3-80-0100-735549.xml.hg,-1,77,71,MO,2,650670584,0
hypergraphs_cnf-3-80-0100-735550.xml.hg,-1,79,71,TO,2,365045629,0
hypergraphs_cril-0_X2.xml.hg,4,86,68,7.81,5,5442,22534
hypergraphs_deep100-q01.hg,1,7,0,0.04,1,0,0
hypergraphs_deep100-q02.hg,1,7,0,0.03,1,0,0
hypergraphs_deep100-q03.hg,1,7,0,0.02,1,0,0
hypergraphs_deep100-q04.hg,1,7,0,0.03,1,0,0
hypergraphs_deep100-q05.hg,1,7,0,0.03,1,0,0
hypergraphs_deep100-q06.hg,1,10,0,0.02,1,0,0
hypergraphs_deep100-q07.hg,1,10,0,0.04,1,0,0
hypergraphs_deep100-q08.hg,1,10,0,0.03,1,0,0
hypergraphs_deep100-q09.hg,1,10,0,0.03,1,0,0
hypergraphs_deep100-q10.hg,1,10,0,0.02,1,0,0
hypergraphs_deep100-q11.hg,1,16,0,0.04,1,0,0
hypergraphs_deep100-q12.hg,1,16,0,0.04,1,0,0
hypergraphs_deep100-q13.hg,1,16,0,0.03,1,0,0
hypergraphs_deep100-q14.hg,1,16,0,0.03,1,0,0
hypergraphs_deep100-q15.hg,1,16,0,0.03,1,0,0
hypergraphs_deep100-q16.hg,1,25,0,0.03,1,0,0
hypergraphs_deep100-q17.hg,1,25,0,0.05,1,0,0
hypergraphs_deep100-q18.hg,1,25,0,0.05,1,0,0
hypergraphs_deep100-q19.hg,1,25,0,0.04,1,0,0
hypergraphs_deep100-q20.hg,1,25,0,0.03,1,0,0
hypergraphs_deep200-q01.hg,1,7,0,0.03,1,0,0
hypergraphs_deep200-q02.hg,1,7,0,0.02,1,0,0
hypergraphs_deep200-q03.hg,1,7,0,0.03,1,0,0
hypergraphs_deep200-q04.hg,1,7,0,0.04,1,0,0
hypergraphs_deep200-q05.hg,1,7,0,0.02,1,0,0
hypergraphs_deep200-q06.hg,1,10,0,0.04,1,0,0
hypergraphs_deep200-q07.hg,1,10,0,0.04,1,0,0
hypergraphs_deep200-q08.hg,1,10,0,0.04,1,0,0
hypergraphs_deep200-q09.hg,1,10,0,0.04,1,0,0
hypergraphs_deep200-q10.hg,1,10,0,0.03,1,0,0
hypergraphs_deep200-q11.hg,1,16,0,0.03,1,0,0
hypergraphs_deep200-q12.hg,1,16,0,0.04,1,0,0
hypergraphs_deep200-q13.hg,1,16,0,0.04,1,0,0
hypergraphs_deep200-q14.hg,1,16,0,0.03,1,0,0
hypergraphs_deep200-q15.hg,1,16,0,0.04,1,0,0
hypergraphs_deep200-q16.hg,1,25,0,0.04,1,0,0
hypergraphs_deep200-q17.hg,1,25,0,0.03,1,0,0
hypergraphs_deep200-q18.hg,1,25,0,0.04,1,0,0
hypergraphs_deep200-q19.hg,1,25,0,0.04,1,0,0
hypergraphs_deep200-q20.hg,1,25,0,0.04,1,0,0
hypergraphs_deep300-queries.hg,1,13,0,0.04,1,0,0
hypergraphs_doctors100k-q08.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors100k-q09.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors10k-q08.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors10k-q09.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors1m-q08.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors1m-q09.hg,1,12,0,0.02,1,0,0
hypergraphs_doctors500k-q01.hg,1,12,0,0.06,1,0,0
hypergraphs_doctors500k-q02.hg,1,12,0,0.04,1,0,0
hypergraphs_doctors500k-q03.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors500k-q04.hg,1,12,0,0.04,1,0,0
hypergraphs_doctors500k-q05.hg,1,12,0,0.02,1,0,0
hypergraphs_doctors500k-q07.hg,1,12,0,0.03,1,0,0
hypergraphs_doctors500k-q08.hg,1,12,0,0.04,1,0,0
hypergraphs_doctors500k-q09.hg,1,12,0,0.04,1,0,0
hypergraphs_Dubois-015.xml.hg,2,45,0,0.09,1,0,0
hypergraphs_Dubois-016.xml.hg,2,48,0,0.09,1,0,0
hypergraphs_Dubois-017.xml.hg,2,51,0,0.09,1,0,0
hypergraphs_Dubois-018.xml.hg,2,54,0,0.12,1,0,0
hypergraphs_Dubois-019.xml.hg,2,57,0,0.11,1,0,0
hypergraphs_Dubois-020.xml.hg,2,60,0,0.12,1,0,0
hypergraphs_Dubois-021.xml.hg,2,63,0,0.12,1,0,0
hypergraphs_Dubois-022.xml.hg,2,66,0,0.13,1,0,0
hypergraphs_Dubois-023.xml.hg,2,69,0,0.13,1,0,0
hypergraphs_Dubois-024.xml.hg,2,72,0,0.14,1,0,0
hypergraphs_Dubois-025.xml.hg,2,75,0,0.14,1,0,0
hypergraphs_Dubois-026.xml.hg,2,78,0,0.14,1,0,0
hypergraphs_Dubois-027.xml.hg,2,81,0,0.14,1,0,0
hypergraphs_Dubois-028.xml.hg,2,84,0,0.15,1,0,0
hypergraphs_Dubois-029.xml.hg,2,87,0,0.16,1,0,0
hypergraphs_Dubois-030.xml.hg,2,90,0,0.16,1,0,0
hypergraphs_Dubois-035.xml.hg,2,105,0,0.18,1,0,0
hypergraphs_Dubois-040.xml.hg,2,120,0,0.18,1,0,0
hypergraphs_Dubois-045.xml.hg,2,135,0,0.21,1,0,0
hypergraphs_Dubois-050.xml.hg,2,150,0,0.22,1,0,0
hypergraphs_dubois20.hg,2,60,0,0.13,1,0,0
hypergraphs_dubois21.hg,2,63,0,0.13,1,0,0
hypergraphs_dubois23.hg,2,69,0,0.14,1,0,0
hypergraphs_dubois25.hg,2,75,0,0.15,1,0,0
hypergraphs_dubois27.hg,2,81,0,0.16,1,0,0
hypergraphs_dubois28.hg,2,84,0,0.17,1,0,0
hypergraphs_dubois29.hg,2,87,0,0.17,1,0,0
hypergraphs_dubois30.hg,2,90,0,0.17,1,0,0
hypergraphs_flat30-1.hg,-1,90,87,MO,2,536841904,0
hypergraphs_flat30-99.hg,-1,90,90,MO,2,541818813,0
hypergraphs_grid2d_10.hg,4,50,50,13.15,5,29439,42044
hypergraphs_grid2d_15.hg,-1,113,113,MO,2,489138293,0
hypergraphs_grid2d_20.hg,-1,200,200,MO,2,436399823,0
hypergraphs_grid2d_25.hg,-1,313,313,TO,2,301299451,0
hypergraphs_grid2d_30.hg,-1,450,450,TO,2,132645425,0
hypergraphs_grid2d_35.hg,-1,613,613,TO,2,95113113,0
hypergraphs_grid2d_40.hg,-1,800,800,TO,2,58688522,0
hypergraphs_grid2d_45.hg,-1,1013,1013,TO,2,37814105,0
hypergraphs_grid2d_50.hg,-1,1250,1250,TO,2,28406231,0
hypergraphs_grid2d_60.hg,-1,1800,1800,TO,2,14288223,0
hypergraphs_grid2d_70.hg,-1,2450,2450,TO,2,8300878,0
hypergraphs_grid2d_75.hg,-1,2813,2813,TO,2,6894338,0
hypergraphs_grid3d_5.hg,-1,63,63,TO,4,6006638,28666947
hypergraphs_grid4d_3.hg,6,41,41,967.34,5,70148,612670
hypergraphs_grid5.hg,3,25,25,0.27,5,617,572
hypergraphs_hole9.hg,-1,90,90,TO,4,260610,171808236
hypergraphs_job-10a.hg,1,36,0,0.04,1,0,0
hypergraphs_job-11a.hg,1,31,0,0.04,1,0,0
hypergraphs_job-12a.hg,1,33,0,0.03,1,0,0
hypergraphs_job-13a.hg,1,34,0,0.05,1,0,0
hypergraphs_job-14a.hg,2,27,0,0.05,1,0,0
hypergraphs_job-15a.hg,1,43,0,0.05,1,0,0
hypergraphs_job-16a.hg,1,47,0,0.05,1,0,0
hypergraphs_job-17a.hg,1,40,0,0.05,1,0,0
hypergraphs_job-18a.hg,1,36,0,0.04,1,0,0
hypergraphs_job-19a.hg,1,55,0,0.04,1,0,0
hypergraphs_job-1a.hg,1,22,0,0.03,1,0,0
hypergraphs_job-20a.hg,2,42,0,0.05,1,0,0
hypergraphs_job-21a.hg,1,35,0,0.05,1,0,0
hypergraphs_job-22a.hg,2,38,0,0.05,1,0,0
hypergraphs_job-23a.hg,2,37,0,0.05,1,0,0
hypergraphs_job-24a.hg,1,59,0,0.05,1,0,0
hypergraphs_job-25a.hg,1,40,0,0.03,1,0,0
hypergraphs_job-26a.hg,2,47,0,0.05,1,0,0
hypergraphs_job-27a.hg,1,40,0,0.05,1,0,0
hypergraphs_job-28a.hg,2,43,0,0.04,1,0,0
hypergraphs_job-29a.hg,2,69,0,0.08,1,0,0
hypergraphs_job-2a.hg,1,26,0,0.04,1,0,0
hypergraphs_job-30a.hg,1,45,0,0.05,1,0,0
hypergraphs_job-31a.hg,1,50,0,0.05,1,0,0
hypergraphs_job-32a.hg,1,31,0,0.04,1,0,0
hypergraphs_job-33a.hg,1,59,0,0.06,1,0,0
hypergraphs_job-3a.hg,1,20,0,0.03,1,0,0
hypergraphs_job-4a.hg,1,21,0,0.03,1,0,0
hypergraphs_job-5a.hg,1,22,0,0.03,1,0,0
hypergraphs_job-6a.hg,1,30,0,0.04,1,0,0
hypergraphs_job-7a.hg,1,42,0,0.03,1,0,0
hypergraphs_job-8a.hg,1,44,0,0.04,1,0,0
hypergraphs_job-9a.hg,1,50,0,0.04,1,0,0
hypergraphs_Kakuro-easy-000-ext.xml.hg,3,18,18,0.08,5,162,44
hypergraphs_Kakuro-easy-001-ext.xml.hg,3,36,36,0.17,5,338,134
hypergraphs_Kakuro-easy-002-ext.xml.hg,2,71,0,0.15,1,0,0
hypergraphs_Kakuro-easy-003-ext.xml.hg,3,73,15,0.19,5,200,57
hypergraphs_Kakuro-easy-004-ext.xml.hg,3,76,64,1.48,5,14966,3192
hypergraphs_Kakuro-easy-005-ext.xml.hg,4,72,64,5.93,5,334706,2920
hypergraphs_Kakuro-easy-006-ext.xml.hg,4,80,68,1.62,5,15570,3418
hypergraphs_Kakuro-easy-007-ext.xml.hg,3,86,86,4.11,5,124412,3849
hypergraphs_Kakuro-easy-008-ext.xml.hg,4,79,65,1.57,5,18252,3120
hypergraphs_Kakuro-easy-009-ext.xml.hg,3,78,70,2.39,5,30604,5022
hypergraphs_Kakuro-easy-010-ext.xml.hg,3,83,67,1.8,5,26810,3237
hypergraphs_Kakuro-easy-011-ext.xml.hg,4,80,60,8.31,5,107748,19707
hypergraphs_Kakuro-easy-012-ext.xml.hg,3,81,81,3.45,5,88684,4306
hypergraphs_Kakuro-easy-013-ext.xml.hg,3,87,87,12.64,5,121772,27268
hypergraphs_Kakuro-easy-014-ext.xml.hg,3,74,74,1.32,5,42240,501
hypergraphs_Kakuro-easy-015-ext.xml.hg,4,82,82,14.61,5,253756,17773
hypergraphs_Kakuro-easy-016-ext.xml.hg,3,86,86,2.73,5,41676,4392
hypergraphs_Kakuro-easy-017-ext.xml.hg,3,89,89,6.75,5,223532,4494
hypergraphs_Kakuro-easy-018-ext.xml.hg,3,82,82,0.43,5,2358,485
hypergraphs_Kakuro-easy-019-ext.xml.hg,4,86,78,13.52,5,274468,21837
hypergraphs_Kakuro-easy-020-ext.xml.hg,4,81,73,12.8,5,110601,35914
hypergraphs_Kakuro-easy-021-ext.xml.hg,3,86,86,18.25,5,579876,3321
hypergraphs_Kakuro-easy-022-ext.xml.hg,3,84,84,3.76,5,92294,4005
hypergraphs_Kakuro-easy-023-ext.xml.hg,4,81,55,2.01,5,4905,4543
hypergraphs_Kakuro-easy-024-ext.xml.hg,3,84,56,1.24,5,5938,2943
hypergraphs_Kakuro-easy-025-ext.xml.hg,4,83,75,19.21,5,488781,21698
hypergraphs_Kakuro-easy-026-ext.xml.hg,4,80,80,72.68,5,725362,146811
hypergraphs_Kakuro-easy-027-ext.xml.hg,4,88,50,1.03,5,11718,2174
hypergraphs_Kakuro-easy-028-ext.xml.hg,4,88,72,115.53,5,3966980,1822
hypergraphs_Kakuro-easy-029-ext.xml.hg,3,80,58,0.51,5,16634,206
hypergraphs_Kakuro-easy-030-ext.xml.hg,4,81,73,1.78,5,33155,2244
hypergraphs_Kakuro-easy-031-ext.xml.hg,4,76,76,2.35,5,31566,5340
hypergraphs_Kakuro-easy-032-ext.xml.hg,3,85,85,13.55,5,80684,35671
hypergraphs_Kakuro-easy-033-ext.xml.hg,4,80,80,7.53,5,212534,3712
hypergraphs_Kakuro-easy-034-ext.xml.hg,3,88,64,0.7,5,20892,335
hypergraphs_Kakuro-easy-035-ext.xml.hg,3,83,71,3.26,5,98264,2863
hypergraphs_Kakuro-easy-036-ext.xml.hg,3,82,82,0.48000000000000004,5,6112,389
hypergraphs_Kakuro-easy-037-ext.xml.hg,5,86,86,87.22,5,1261084,108624
hypergraphs_Kakuro-easy-038-ext.xml.hg,4,90,70,102.8,5,3465298,1891
hypergraphs_Kakuro-easy-039-ext.xml.hg,4,89,89,564.85,5,13234055,24687
hypergraphs_Kakuro-easy-040-ext.xml.hg,4,86,60,1.69,5,55330,2277
hypergraphs_Kakuro-easy-041-ext.xml.hg,5,84,84,311.51,5,7891630,188810
hypergraphs_Kakuro-easy-042-ext.xml.hg,4,84,84,5.74,5,186846,4788
hypergraphs_Kakuro-easy-043-ext.xml.hg,4,83,83,22.51,5,550289,22463
hypergraphs_Kakuro-easy-044-ext.xml.hg,4,82,66,11.34,5,126150,24774
hypergraphs_Kakuro-easy-045-ext.xml.hg,5,84,84,3587.7,5,42850674,4095897
hypergraphs_Kakuro-easy-046-ext.xml.hg,4,82,82,19.25,5,219266,35904
hypergraphs_Kakuro-easy-047-ext.xml.hg,5,86,86,64.57,5,1559238,41402
hypergraphs_Kakuro-easy-048-ext.xml.hg,4,84,84,82.61,5,78767,224780
hypergraphs_Kakuro-easy-049-ext.xml.hg,3,108,94,603.87,5,14656394,133029
hypergraphs_Kakuro-easy-050-ext.xml.hg,4,110,110,15.15,5,389628,6448
hypergraphs_Kakuro-easy-051-ext.xml.hg,-1,105,105,TO,2,402242330,0
hypergraphs_Kakuro-easy-052-ext.xml.hg,4,103,103,1136.71,5,24281583,428800
hypergraphs_Kakuro-easy-053-ext.xml.hg,5,106,106,930.0,5,17103485,326150
hypergraphs_Kakuro-easy-054-ext.xml.hg,4,104,104,23.85,5,305396,42148
hypergraphs_Kakuro-easy-055-ext.xml.hg,4,103,95,1894.2,5,45047596,3462
hypergraphs_Kakuro-easy-056-ext.xml.hg,3,100,100,22.47,5,202492,51425
hypergraphs_Kakuro-easy-057-ext.xml.hg,4,99,81,46.71,5,1316539,34567
hypergraphs_Kakuro-easy-058-ext.xml.hg,3,121,21,0.4,5,573,483
hypergraphs_Kakuro-easy-059-ext.xml.hg,3,122,86,4.23,5,123912,429
hypergraphs_Kakuro-easy-060-ext.xml.hg,4,120,92,55.02,5,1370056,33392
hypergraphs_Kakuro-easy-061-ext.xml.hg,3,148,148,13.66,5,284772,919
hypergraphs_Kakuro-easy-062-ext.xml.hg,4,144,108,256.2,5,545732,596074
hypergraphs_Kakuro-easy-064-ext.xml.hg,4,150,106,134.41,5,455952,312236
hypergraphs_Kakuro-easy-065-ext.xml.hg,4,144,144,95.77,5,2074420,75500
hypergraphs_Kakuro-easy-068-ext.xml.hg,4,148,108,34.34,5,554456,47668
hypergraphs_Kakuro-easy-069-ext.xml.hg,-1,148,124,TO,2,238576247,0
hypergraphs_Kakuro-easy-070-ext.xml.hg,3,155,34,1.28,5,6437,2679
hypergraphs_Kakuro-easy-071-ext.xml.hg,4,152,100,97.59,5,2625578,34028
hypergraphs_Kakuro-easy-072-ext.xml.hg,4,152,88,658.08,5,545554,1529748
hypergraphs_Kakuro-easy-073-ext.xml.hg,3,148,148,430.83,5,8884708,12205
hypergraphs_Kakuro-easy-074-ext.xml.hg,4,150,126,660.01,5,9730698,575815
hypergraphs_Kakuro-easy-075-ext.xml.hg,3,148,148,12.33,5,158684,12123
hypergraphs_Kakuro-easy-076-ext.xml.hg,3,142,110,9.1,5,269808,846
hypergraphs_Kakuro-easy-083-ext.xml.hg,-1,153,145,TO,2,283256074,0
hypergraphs_Kakuro-easy-084-ext.xml.hg,5,156,104,2881.94,5,55075275,910795
hypergraphs_Kakuro-easy-086-ext.xml.hg,4,150,150,72.78,5,1406950,6633
hypergraphs_Kakuro-easy-087-ext.xml.hg,4,148,88,2391.8,5,56612924,398879
hypergraphs_Kakuro-easy-088-ext.xml.hg,3,153,59,18.25,5,927107,2999
hypergraphs_Kakuro-easy-089-ext.xml.hg,-1,142,142,TO,3,66693564,0
hypergraphs_Kakuro-easy-091-ext.xml.hg,3,157,22,0.7,5,1447,335
hypergraphs_Kakuro-easy-093-ext.xml.hg,3,150,38,2.21,5,16282,3998
hypergraphs_Kakuro-easy-094-ext.xml.hg,-1,157,149,TO,2,382911907,0
hypergraphs_Kakuro-easy-096-ext.xml.hg,3,151,53,5.01,5,209924,3229
hypergraphs_Kakuro-easy-097-ext.xml.hg,-1,154,154,TO,2,493845891,0
hypergraphs_Kakuro-easy-098-ext.xml.hg,3,157,49,2.25,5,48652,3292
hypergraphs_Kakuro-easy-099-ext.xml.hg,-1,159,109,TO,2,355620684,1367
hypergraphs_Kakuro-easy-103-ext.xml.hg,-1,162,162,TO,2,435588713,0
hypergraphs_Kakuro-easy-104-ext.xml.hg,-1,148,148,TO,2,373375376,0
hypergraphs_Kakuro-easy-106-ext.xml.hg,-1,150,150,MO,2,325316063,0
